max_depth_XGB,reg_lambda_XGB,num_iterations_LGB,n_estimators_XGB,learning_rate_LGB,learning_rate_XGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,max_bin_LGB,max_depth_LGB,reg_alpha_LGB,reg_alpha_XGB,degree,mse,r2
9,9,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.10463855266504775,0.8953614473349523
7,7,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10468166194229785,0.8953183380577021
9,9,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.10487073481468663,0.8951292651853133
7,7,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.10509276961441057,0.8949072303855894
7,7,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,10,80,7,1.0,1.0,10,0.10525773187786786,0.8947422681221322
7,7,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.1056135593873319,0.8943864406126681
7,7,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.10575297630962342,0.8942470236903766
7,7,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.10582142981273375,0.8941785701872662
9,9,100,100,0.2,0.2,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10586719309423827,0.8941328069057617
9,9,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.10593599675257155,0.8940640032474284
7,7,100,100,0.2,0.2,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10600445444818864,0.8939955455518114
7,7,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.10601633103524757,0.8939836689647525
7,7,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.10606297964393283,0.8939370203560671
9,9,200,200,0.1,0.1,32,32,5.0,0.5,0.5,0.8999999999999999,0.8999999999999999,18,144,11,0.01,0.01,10,0.10618304597464397,0.893816954025356
7,7,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.10625354985612832,0.8937464501438717
9,9,200,200,0.1,0.1,64,64,10.0,0.5,0.5,0.8999999999999999,0.8999999999999999,10,80,7,1.0,1.0,10,0.10629883199980213,0.8937011680001978
5,5,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.10637868486820139,0.8936213151317987
5,5,100,100,0.2,0.2,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.10648097428472604,0.893519025715274
5,5,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10649242193909224,0.8935075780609077
9,9,100,100,0.2,0.2,96,96,15.0,0.5,0.5,0.8999999999999999,0.8999999999999999,18,144,11,1.0,1.0,10,0.10675054537893489,0.8932494546210651
9,9,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10687254877569216,0.8931274512243078
9,9,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.10689680434272096,0.893103195657279
5,5,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.10695826871152675,0.8930417312884733
5,5,200,200,0.1,0.1,32,32,5.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.10697478530294234,0.8930252146970576
7,7,200,200,0.1,0.1,32,32,5.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.10703513951237306,0.8929648604876269
9,9,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.1071340082617567,0.8928659917382433
9,9,100,100,0.2,0.2,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.1071919024978831,0.8928080975021169
5,5,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.10734830617879576,0.8926516938212042
9,9,100,100,0.2,0.2,64,64,10.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.10752583322083821,0.8924741667791618
7,7,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.1075543605044747,0.8924456394955254
9,9,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.10763419382927515,0.8923658061707248
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.10777932200414451,0.8922206779958555
7,7,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.10781665209458502,0.892183347905415
5,5,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.10787583538372557,0.8921241646162744
5,5,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10790607949261727,0.8920939205073828
9,9,100,100,0.2,0.2,96,96,15.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.10793330050683937,0.8920666994931606
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,10,80,7,1.0,1.0,10,0.10804834616528944,0.8919516538347105
7,7,200,200,0.1,0.1,32,32,5.0,0.5,0.5,0.8999999999999999,0.8999999999999999,18,144,11,0.01,0.01,10,0.10835487569878603,0.891645124301214
5,5,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.10843931338669317,0.8915606866133068
9,9,100,100,0.2,0.2,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.1084660088005891,0.8915339911994109
5,5,100,100,0.2,0.2,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10873445381660883,0.8912655461833912
9,9,100,100,0.2,0.2,32,32,5.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.10884981154816425,0.8911501884518358
5,5,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.1,0.1,10,0.10885202038154292,0.891147979618457
9,9,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,6,48,5,0.1,0.1,10,0.10885982990102086,0.8911401700989792
7,7,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10886179088777173,0.8911382091122283
9,9,200,200,0.1,0.1,96,96,15.0,0.5,0.5,0.8999999999999999,0.8999999999999999,14,112,9,1.0,1.0,10,0.10898130413678397,0.891018695863216
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.10911684014096193,0.8908831598590381
7,7,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.10918466965871032,0.8908153303412897
7,7,100,100,0.2,0.2,32,32,5.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.10922399473956106,0.890776005260439
5,5,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.1093798754303894,0.8906201245696106
9,9,200,200,0.1,0.1,32,32,5.0,0.7,0.7,0.7,0.7,14,112,9,0.01,0.01,10,0.1094067235732365,0.8905932764267634
9,9,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,10,80,7,1.0,1.0,10,0.10942117942830934,0.8905788205716907
7,7,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.10947341958276471,0.8905265804172353
9,9,200,200,0.1,0.1,64,64,10.0,0.5,0.5,0.8999999999999999,0.8999999999999999,10,80,7,0.1,0.1,10,0.10947540544572748,0.8905245945542726
9,9,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.01,0.01,10,0.10951444823063326,0.8904855517693667
7,7,100,100,0.2,0.2,64,64,10.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.10955706750311221,0.8904429324968878
5,5,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.10963887459126967,0.8903611254087304
7,7,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.10974151470868336,0.8902584852913167
7,7,100,100,0.2,0.2,96,96,15.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.1098229260185516,0.8901770739814484
9,9,100,100,0.2,0.2,64,64,10.0,0.7,0.7,0.7,0.7,14,112,9,1.0,1.0,10,0.10986295570718523,0.8901370442928148
9,9,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.10987016322753791,0.890129836772462
9,9,100,100,0.2,0.2,96,96,15.0,0.5,0.5,0.8999999999999999,0.8999999999999999,18,144,11,0.01,0.01,10,0.1098971771985007,0.8901028228014993
7,7,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.10992233123607012,0.8900776687639299
7,7,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.1099298086198199,0.8900701913801801
9,9,200,200,0.1,0.1,64,64,10.0,0.7,0.7,0.7,0.7,14,112,9,0.01,0.01,10,0.11004537939120185,0.8899546206087982
5,5,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.1101792501070551,0.8898207498929449
9,9,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.11025061977178213,0.8897493802282179
9,9,100,100,0.2,0.2,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.11026807171966163,0.8897319282803384
9,9,200,200,0.1,0.1,96,96,15.0,0.5,0.5,0.8999999999999999,0.8999999999999999,14,112,9,0.1,0.1,10,0.11027165870521276,0.8897283412947873
9,9,200,200,0.1,0.1,64,64,10.0,0.7,0.7,0.7,0.7,14,112,9,0.1,0.1,10,0.11027463476614312,0.8897253652338569
7,7,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.1,0.1,10,0.11031497485229519,0.8896850251477049
5,5,100,100,0.2,0.2,96,96,15.0,0.5,0.5,0.8999999999999999,0.8999999999999999,18,144,11,1.0,1.0,10,0.1103434449867098,0.8896565550132902
5,5,200,200,0.1,0.1,32,32,5.0,0.7,0.7,0.7,0.7,14,112,9,1.0,1.0,10,0.11035735042757339,0.8896426495724266
5,5,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.11045510527170985,0.8895448947282901
9,9,200,200,0.1,0.1,32,32,5.0,0.7,0.7,0.7,0.7,14,112,9,1.0,1.0,10,0.11048267215619838,0.8895173278438017
5,5,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,10,80,7,1.0,1.0,10,0.11054890627177097,0.8894510937282291
7,7,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.11067059684063113,0.8893294031593688
7,7,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,6,48,5,1.0,1.0,10,0.11067596925042573,0.8893240307495742
5,5,200,200,0.1,0.1,64,64,10.0,0.5,0.5,0.8999999999999999,0.8999999999999999,10,80,7,1.0,1.0,10,0.11070357495658281,0.8892964250434172
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.01,0.01,10,0.11073116987090517,0.8892688301290949
