num_leaves_LGB,min_child_samples_LGB,max_depth_random,max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,reg_lambda_LGB,min_samples_split_random,max_features_random,max_samples_random,subsample_LGB,colsample_bytree_LGB,min_samples_leaf_random,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,3,48,0.1,10,0.1597506,0.8402494
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,9,144,0.01,10,0.159784469,0.840215531
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,5,80,0.01,10,0.159806093,0.840193907
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,1,10,0.159865885,0.840134115
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,9,144,1,10,0.159934486,0.840065514
14,14,3,3,50,0.2,100,3,48,0.5,0.5,0.9,0.9,9,144,1,10,0.159956657,0.840043343
14,14,3,3,100,0.1,200,1,16,0.5,0.5,0.9,0.9,7,112,1,10,0.160045297,0.839954703
14,14,3,3,50,0.2,100,1,16,0.7,0.7,0.7,0.7,5,80,0.1,10,0.160282873,0.839717127
14,14,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,3,48,0.01,10,0.16042987,0.83957013
14,14,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,7,112,1,10,0.160464006,0.839535994
10,10,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,5,80,0.01,10,0.160480689,0.839519311
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,7,112,1,10,0.160754734,0.839245266
14,14,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,0.01,10,0.160771654,0.839228346
10,10,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,3,48,1,10,0.160800949,0.839199051
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.160884207,0.839115793
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.160902115,0.839097885
10,10,5,5,50,0.2,100,3,48,0.7,0.7,0.7,0.7,9,144,0.01,10,0.160907019,0.839092981
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,5,80,0.01,10,0.160931709,0.839068291
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,9,144,0.01,10,0.161019222,0.838980778
14,14,3,3,50,0.2,100,1,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.161219154,0.838780846
10,10,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,7,112,0.1,10,0.16138185,0.83861815
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,3,48,0.01,10,0.161381902,0.838618098
10,10,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,5,80,0.1,10,0.161403769,0.838596231
14,14,3,3,100,0.1,200,5,80,0.9,0.9,0.5,0.5,5,80,1,10,0.161591605,0.838408395
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,0.1,10,0.16167921,0.83832079
10,10,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,9,144,0.01,10,0.161697705,0.838302295
14,14,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,5,80,0.01,10,0.161725643,0.838274357
10,10,5,5,50,0.2,100,3,48,0.7,0.7,0.7,0.7,5,80,0.01,10,0.16181828,0.83818172
14,14,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,3,48,0.1,10,0.16194079,0.83805921
10,10,5,5,50,0.2,100,3,48,0.5,0.5,0.9,0.9,3,48,1,10,0.161964565,0.838035435
