max_depth_LGB,num_iterations_LGB,learning_rate_LGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2,mse_y,auc_t
5,100,0.2,96,96,15,0.9,0.9,112,1,10,0.094620006,0.905379994,1.080485336,0.504037149
9,100,0.2,64,64,10,0.9,0.9,48,0.1,10,0.094649496,0.905350504,1.114872576,0.504037149
5,200,0.1,32,32,5,0.5,0.5,48,0.01,10,0.094664941,0.905335059,1.096321484,0.504037149
9,200,0.1,32,32,5,0.5,0.5,144,1,10,0.094692001,0.905307999,1.111353511,0.504037149
9,100,0.2,64,64,10,0.9,0.9,48,1,10,0.094718194,0.905281806,1.119979876,0.504037149
7,200,0.1,64,64,10,0.5,0.5,16,1,10,0.094721428,0.905278572,1.085223966,0.504037149
7,100,0.2,128,128,20,0.5,0.5,48,0.1,10,0.094722804,0.905277196,1.082135002,0.504037149
9,100,0.2,128,128,20,0.5,0.5,48,0.1,10,0.094722804,0.905277196,1.081939072,0.504037149
9,100,0.2,96,96,15,0.5,0.5,112,0.01,10,0.094797591,0.905202409,1.082776588,0.504037149
5,100,0.2,64,64,10,0.5,0.5,112,0.1,10,0.094852699,0.905147301,1.090826248,0.504037149
9,200,0.1,64,64,10,0.7,0.7,16,0.1,10,0.094887744,0.905112256,1.094339532,0.504037149
9,100,0.2,96,96,15,0.7,0.7,48,0.01,10,0.094934818,0.905065182,1.086467594,0.504037149
7,100,0.2,96,96,15,0.5,0.5,144,0.1,10,0.09497589,0.90502411,1.087018319,0.504037149
5,200,0.1,96,96,15,0.5,0.5,144,0.1,10,0.094995169,0.905004831,1.076451125,0.504037149
9,200,0.1,32,32,5,0.7,0.7,16,1,10,0.095012612,0.904987388,1.131448633,0.504037149
7,100,0.2,64,64,10,0.5,0.5,16,0.1,10,0.095102255,0.904897745,1.085555893,0.504037149
7,100,0.2,32,32,5,0.9,0.9,16,1,10,0.095120667,0.904879333,1.131770932,0.504037149
5,100,0.2,64,64,10,0.5,0.5,48,1,10,0.095135443,0.904864557,1.090977065,0.504037149
9,200,0.1,32,32,5,0.9,0.9,48,1,10,0.095187921,0.904812079,1.148053423,0.504037149
9,200,0.1,32,32,5,0.5,0.5,144,0.1,10,0.095256905,0.904743095,1.118945136,0.504037149
5,200,0.1,96,96,15,0.5,0.5,112,0.1,10,0.095333778,0.904666222,1.076054302,0.504037149
