max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,n_estimators_random,learning_rate_XGB,min_samples_split_random,min_samples_leaf_random,subsample_XGB,colsample_bytree_XGB,max_features_random,max_samples_random,max_depth_random,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
9,9,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,0.1,10,0.425909093,0.574090907
9,9,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,0.01,10,0.425955387,0.574044613
9,9,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,1,10,0.426010678,0.573989322
3,3,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,0.1,10,0.426116293,0.573883707
3,3,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,0.01,10,0.426121973,0.573878027
5,5,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,0.01,10,0.426156719,0.573843281
5,5,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,0.1,10,0.426159509,0.573840491
3,3,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,1,10,0.426167079,0.573832921
5,5,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,1,10,0.426250949,0.573749051
7,7,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,0.01,10,0.426373202,0.573626798
7,7,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,0.1,10,0.426379426,0.573620574
9,9,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,1,10,0.426473505,0.573526495
7,7,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,1,10,0.426477922,0.573522078
9,9,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,0.1,10,0.426485761,0.573514239
9,9,100,100,0.1,32,32,0.5,0.5,0.9,0.9,9,144,0.01,10,0.426493711,0.573506289
3,3,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.427194884,0.572805116
3,3,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.427214689,0.572785311
5,5,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,1,10,0.42725187,0.57274813
5,5,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.427266927,0.572733073
7,7,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.427277483,0.572722517
5,5,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.427277514,0.572722486
7,7,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.427285648,0.572714352
7,7,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,1,10,0.427338722,0.572661278
9,9,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.427424138,0.572575862
9,9,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.427429084,0.572570916
3,3,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,1,10,0.427477009,0.572522991
9,9,100,100,0.1,16,16,0.7,0.7,0.7,0.7,7,112,1,10,0.4275718,0.5724282
3,3,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,0.01,10,0.433156678,0.566843322
3,3,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.433164427,0.566835573
5,5,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,0.01,10,0.433391582,0.566608418
5,5,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.433401111,0.566598889
5,5,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,1,10,0.433405338,0.566594662
3,3,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,1,10,0.433430964,0.566569036
7,7,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,0.01,10,0.433552693,0.566447307
7,7,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.433583602,0.566416398
9,9,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,0.01,10,0.433668824,0.566331176
9,9,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,1,10,0.433673505,0.566326495
9,9,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.433676371,0.566323629
7,7,100,100,0.1,16,16,0.7,0.7,0.7,0.7,9,144,1,10,0.433676734,0.566323266
3,3,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,0.01,10,0.435592475,0.564407525
3,3,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,0.1,10,0.435613875,0.564386125
5,5,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,0.01,10,0.435694499,0.564305501
5,5,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,0.1,10,0.435723604,0.564276396
3,3,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,1,10,0.435726648,0.564273352
5,5,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,1,10,0.435753369,0.564246631
7,7,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,0.01,10,0.435918074,0.564081926
7,7,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,0.1,10,0.435925207,0.564074793
3,3,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.435977101,0.564022899
3,3,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.43599767,0.56400233
7,7,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,1,10,0.436068186,0.563931814
5,5,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.436081084,0.563918916
5,5,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.43610802,0.56389198
3,3,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,1,10,0.436110428,0.563889572
5,5,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,1,10,0.43613387,0.56386613
9,9,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,0.1,10,0.43617969,0.56382031
9,9,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,0.01,10,0.436217208,0.563782792
9,9,100,100,0.1,32,32,0.5,0.5,0.9,0.9,5,80,1,10,0.436284486,0.563715514
7,7,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.436302595,0.563697405
7,7,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.436307272,0.563692728
7,7,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,1,10,0.436451467,0.563548533
9,9,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.436567449,0.563432551
9,9,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.436601765,0.563398235
9,9,100,100,0.1,16,16,0.5,0.5,0.9,0.9,5,80,1,10,0.436677485,0.563322515
3,3,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,0.01,10,0.438855435,0.561144565
3,3,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,0.1,10,0.438863422,0.561136578
3,3,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,1,10,0.438920174,0.561079826
5,5,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,0.01,10,0.438948107,0.561051893
5,5,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,0.1,10,0.438950536,0.561049464
5,5,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,1,10,0.438991589,0.561008411
7,7,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,0.01,10,0.439059904,0.560940096
7,7,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,0.1,10,0.439068132,0.560931868
7,7,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,1,10,0.439164517,0.560835483
9,9,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,0.1,10,0.439186882,0.560813118
9,9,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,0.01,10,0.439213325,0.560786675
9,9,200,200,0.05,32,32,0.5,0.5,0.9,0.9,7,112,1,10,0.439234511,0.560765489
3,3,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,0.01,10,0.440120698,0.559879302
3,3,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,0.1,10,0.440125605,0.559874395
3,3,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,1,10,0.440154792,0.559845208
5,5,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,0.01,10,0.440173146,0.559826854
5,5,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,0.1,10,0.440177155,0.559822845
5,5,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,1,10,0.440208673,0.559791327
7,7,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,0.01,10,0.440264553,0.559735447
7,7,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,0.1,10,0.440270874,0.559729126
7,7,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,1,10,0.440321482,0.559678518
9,9,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,0.1,10,0.440351218,0.559648782
9,9,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,0.01,10,0.440353977,0.559646023
9,9,200,200,0.05,32,32,0.5,0.5,0.9,0.9,9,144,1,10,0.440362852,0.559637148
3,3,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,0.01,10,0.444592068,0.555407932
3,3,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,0.1,10,0.444609583,0.555390417
3,3,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,1,10,0.444704956,0.555295044
5,5,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,0.01,10,0.444715475,0.555284525
