max_depth_XGB,reg_lambda_XGB,reg_lambda_LGB,learning_rate_XGB,n_estimators_XGB,num_leaves_LGB,min_child_samples_LGB,subsample_XGB,colsample_bytree_XGB,subsample_LGB,colsample_bytree_LGB,max_depth_LGB,min_child_weight_XGB,max_bin_LGB,reg_alpha_XGB,reg_alpha_LGB,learning_rate_XGB,num_iterations_LGB,degree,mse,r2
5,5,1.5625,0.1,100,96,96,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.05,200,10,0.202974635,0.797025365
5,5,1.5625,0.05,200,96,96,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.05,200,10,0.202984551,0.797015449
9,9,2.8125,0.05,200,128,128,0.7,0.7,0.7,0.7,5,80,80,1,1,0.1,100,10,0.203009753,0.796990247
5,5,1.5625,0.1,100,32,32,0.7,0.7,0.7,0.7,7,112,112,1,1,0.05,200,10,0.203009769,0.796990231
9,9,2.8125,0.05,200,64,64,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.05,200,10,0.20301253,0.79698747
9,9,2.8125,0.05,200,64,64,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.05,200,10,0.203043077,0.796956923
7,7,2.1875,0.05,200,128,128,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.1,100,10,0.203069337,0.796930663
5,5,1.5625,0.05,200,32,32,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.203073116,0.796926884
9,9,2.8125,0.1,100,96,96,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.20309749,0.79690251
9,9,2.8125,0.1,100,128,128,0.9,0.9,0.5,0.5,7,112,112,1,1,0.1,100,10,0.203104839,0.796895161
9,9,2.8125,0.1,100,96,96,0.9,0.9,0.5,0.5,3,48,48,0.01,0.01,0.1,100,10,0.203118037,0.796881963
5,5,1.5625,0.1,100,32,32,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.05,200,10,0.203118442,0.796881558
7,7,2.1875,0.05,200,32,32,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.203139709,0.796860291
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.1,100,10,0.203152812,0.796847188
5,5,1.5625,0.05,200,32,32,0.5,0.5,0.9,0.9,9,144,144,1,1,0.05,200,10,0.203165613,0.796834387
7,7,2.1875,0.1,100,32,32,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.05,200,10,0.203196622,0.796803378
9,9,2.8125,0.1,100,96,96,0.9,0.9,0.5,0.5,9,144,144,1,1,0.05,200,10,0.203199222,0.796800778
7,7,2.1875,0.05,200,32,32,0.5,0.5,0.9,0.9,7,112,112,0.1,0.1,0.1,100,10,0.203211735,0.796788265
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,7,112,112,1,1,0.05,200,10,0.203232382,0.796767618
7,7,2.1875,0.1,100,96,96,0.7,0.7,0.7,0.7,9,144,144,1,1,0.1,100,10,0.203286109,0.796713891
7,7,2.1875,0.1,100,64,64,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.05,200,10,0.203293499,0.796706501
5,5,1.5625,0.1,100,96,96,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.05,200,10,0.203318448,0.796681552
5,5,1.5625,0.1,100,64,64,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.05,200,10,0.203329592,0.796670408
7,7,2.1875,0.05,200,96,96,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.05,200,10,0.203342205,0.796657795
7,7,2.1875,0.05,200,32,32,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.05,200,10,0.203343146,0.796656854
9,9,2.8125,0.1,100,128,128,0.5,0.5,0.9,0.9,7,112,112,0.1,0.1,0.05,200,10,0.203349227,0.796650773
5,5,1.5625,0.1,100,32,32,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.05,200,10,0.203366661,0.796633339
9,9,2.8125,0.1,100,64,64,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.203370053,0.796629947
9,9,2.8125,0.05,200,32,32,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.203382697,0.796617303
9,9,2.8125,0.05,200,128,128,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.1,100,10,0.203412763,0.796587237
5,5,1.5625,0.1,100,32,32,0.5,0.5,0.9,0.9,7,112,112,0.1,0.1,0.1,100,10,0.203461739,0.796538261
5,5,1.5625,0.05,200,96,96,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.05,200,10,0.203472736,0.796527264
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.203475552,0.796524448
7,7,2.1875,0.05,200,128,128,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.05,200,10,0.203476519,0.796523481
5,5,1.5625,0.05,200,96,96,0.5,0.5,0.9,0.9,7,112,112,1,1,0.05,200,10,0.203478891,0.796521109
9,9,2.8125,0.1,100,128,128,0.5,0.5,0.9,0.9,9,144,144,1,1,0.05,200,10,0.203483685,0.796516315
5,5,1.5625,0.1,100,128,128,0.7,0.7,0.7,0.7,9,144,144,1,1,0.1,100,10,0.203511174,0.796488826
9,9,2.8125,0.05,200,96,96,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.203554976,0.796445024
9,9,2.8125,0.05,200,96,96,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.1,100,10,0.203565789,0.796434211
9,9,2.8125,0.05,200,96,96,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.05,200,10,0.203604401,0.796395599
5,5,1.5625,0.05,200,128,128,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.05,200,10,0.2036156,0.7963844
7,7,2.1875,0.05,200,96,96,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.05,200,10,0.203682701,0.796317299
5,5,1.5625,0.1,100,64,64,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.1,100,10,0.203700063,0.796299937
9,9,2.8125,0.1,100,64,64,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.1,100,10,0.203732953,0.796267047
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.05,200,10,0.203737948,0.796262052
9,9,2.8125,0.1,100,32,32,0.9,0.9,0.5,0.5,9,144,144,1,1,0.1,100,10,0.203741656,0.796258344
9,9,2.8125,0.1,100,96,96,0.7,0.7,0.7,0.7,7,112,112,1,1,0.1,100,10,0.203763995,0.796236005
9,9,2.8125,0.05,200,128,128,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.05,200,10,0.203781213,0.796218787
9,9,2.8125,0.05,200,96,96,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.20378402,0.79621598
5,5,1.5625,0.1,100,96,96,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.05,200,10,0.203787056,0.796212944
9,9,2.8125,0.1,100,96,96,0.9,0.9,0.5,0.5,7,112,112,1,1,0.1,100,10,0.203804315,0.796195685
9,9,2.8125,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,1,1,0.05,200,10,0.203806223,0.796193777
5,5,1.5625,0.1,100,32,32,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.203808164,0.796191836
7,7,2.1875,0.05,200,96,96,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.05,200,10,0.20381412,0.79618588
9,9,2.8125,0.05,200,64,64,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.203819056,0.796180944
7,7,2.1875,0.05,200,96,96,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.05,200,10,0.203831964,0.796168036
7,7,2.1875,0.05,200,64,64,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.05,200,10,0.203836583,0.796163417
7,7,2.1875,0.05,200,128,128,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.05,200,10,0.203849125,0.796150875
9,9,2.8125,0.1,100,32,32,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.1,100,10,0.203863467,0.796136533
5,5,1.5625,0.1,100,32,32,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.05,200,10,0.203903239,0.796096761
9,9,2.8125,0.1,100,32,32,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.05,200,10,0.203936337,0.796063663
5,5,1.5625,0.1,100,32,32,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.203953815,0.796046185
7,7,2.1875,0.05,200,96,96,0.5,0.5,0.9,0.9,9,144,144,1,1,0.05,200,10,0.20397572,0.79602428
9,9,2.8125,0.05,200,96,96,0.7,0.7,0.7,0.7,9,144,144,1,1,0.1,100,10,0.203980641,0.796019359
7,7,2.1875,0.1,100,96,96,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.1,100,10,0.203983598,0.796016402
7,7,2.1875,0.1,100,96,96,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.05,200,10,0.203988914,0.796011086
9,9,2.8125,0.05,200,64,64,0.7,0.7,0.7,0.7,9,144,144,1,1,0.1,100,10,0.204008792,0.795991208
9,9,2.8125,0.05,200,128,128,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.05,200,10,0.204028133,0.795971867
5,5,1.5625,0.1,100,32,32,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.204029825,0.795970175
9,9,2.8125,0.1,100,32,32,0.9,0.9,0.5,0.5,5,80,80,1,1,0.05,200,10,0.204040774,0.795959226
9,9,2.8125,0.05,200,64,64,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.1,100,10,0.204052098,0.795947902
9,9,2.8125,0.05,200,96,96,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.05,200,10,0.204074045,0.795925955
7,7,2.1875,0.05,200,96,96,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.05,200,10,0.204096138,0.795903862
7,7,2.1875,0.1,100,128,128,0.9,0.9,0.5,0.5,9,144,144,1,1,0.1,100,10,0.20410824,0.79589176
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,3,48,48,0.1,0.1,0.1,100,10,0.204116453,0.795883547
9,9,2.8125,0.05,200,128,128,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.05,200,10,0.204126411,0.795873589
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,9,144,144,1,1,0.1,100,10,0.204127483,0.795872517
7,7,2.1875,0.05,200,128,128,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.1,100,10,0.2041347,0.7958653
9,9,2.8125,0.05,200,128,128,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.2041605,0.7958395
9,9,2.8125,0.05,200,128,128,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.05,200,10,0.204177779,0.795822221
9,9,2.8125,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.204187281,0.795812719
7,7,2.1875,0.1,100,64,64,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.204219515,0.795780485
9,9,2.8125,0.05,200,96,96,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.05,200,10,0.204226281,0.795773719
7,7,2.1875,0.05,200,96,96,0.5,0.5,0.9,0.9,9,144,144,1,1,0.1,100,10,0.204259828,0.795740172
5,5,1.5625,0.1,100,64,64,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.204260527,0.795739473
7,7,2.1875,0.05,200,64,64,0.9,0.9,0.5,0.5,7,112,112,1,1,0.1,100,10,0.204283087,0.795716913
7,7,2.1875,0.05,200,96,96,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.1,100,10,0.204284689,0.795715311
9,9,2.8125,0.1,100,96,96,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.1,100,10,0.204312201,0.795687799
9,9,2.8125,0.05,200,96,96,0.5,0.5,0.9,0.9,7,112,112,0.1,0.1,0.1,100,10,0.204323252,0.795676748
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.1,100,10,0.204342653,0.795657347
5,5,1.5625,0.05,200,128,128,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.1,100,10,0.204366145,0.795633855
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.05,200,10,0.204388837,0.795611163
5,5,1.5625,0.05,200,32,32,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.05,200,10,0.204428932,0.795571068
9,9,2.8125,0.05,200,96,96,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.05,200,10,0.204431511,0.795568489
7,7,2.1875,0.1,100,96,96,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.20444783,0.79555217
7,7,2.1875,0.1,100,96,96,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.1,100,10,0.204448878,0.795551122
9,9,2.8125,0.05,200,32,32,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.1,100,10,0.204454422,0.795545578
9,9,2.8125,0.05,200,96,96,0.5,0.5,0.9,0.9,7,112,112,1,1,0.1,100,10,0.204475143,0.795524857
9,9,2.8125,0.1,100,64,64,0.9,0.9,0.5,0.5,9,144,144,1,1,0.05,200,10,0.204483126,0.795516874
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,7,112,112,1,1,0.05,200,10,0.204486745,0.795513255
5,5,1.5625,0.05,200,128,128,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.1,100,10,0.204555861,0.795444139
9,9,2.8125,0.05,200,96,96,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.05,200,10,0.204558396,0.795441604
9,9,2.8125,0.05,200,96,96,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.1,100,10,0.204584678,0.795415322
5,5,1.5625,0.05,200,96,96,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.1,100,10,0.204592962,0.795407038
9,9,2.8125,0.05,200,64,64,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.05,200,10,0.204601684,0.795398316
5,5,1.5625,0.1,100,32,32,0.5,0.5,0.9,0.9,9,144,144,1,1,0.05,200,10,0.204636778,0.795363222
9,9,2.8125,0.05,200,64,64,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.204641608,0.795358392
9,9,2.8125,0.05,200,64,64,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.1,100,10,0.204670474,0.795329526
7,7,2.1875,0.05,200,128,128,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.05,200,10,0.204674543,0.795325457
9,9,2.8125,0.1,100,128,128,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.05,200,10,0.204681359,0.795318641
5,5,1.5625,0.1,100,96,96,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.05,200,10,0.204681443,0.795318557
7,7,2.1875,0.1,100,128,128,0.9,0.9,0.5,0.5,7,112,112,1,1,0.05,200,10,0.204686503,0.795313497
7,7,2.1875,0.05,200,32,32,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.204690098,0.795309902
5,5,1.5625,0.1,100,64,64,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.1,100,10,0.204697341,0.795302659
5,5,1.5625,0.1,100,96,96,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.1,100,10,0.204810043,0.795189957
5,5,1.5625,0.05,200,64,64,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.1,100,10,0.204813442,0.795186558
7,7,2.1875,0.05,200,96,96,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.1,100,10,0.204837285,0.795162715
5,5,1.5625,0.1,100,96,96,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.05,200,10,0.204837355,0.795162645
7,7,2.1875,0.05,200,96,96,0.9,0.9,0.5,0.5,9,144,144,1,1,0.05,200,10,0.20485701,0.79514299
5,5,1.5625,0.05,200,96,96,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.05,200,10,0.204893432,0.795106568
5,5,1.5625,0.05,200,96,96,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.05,200,10,0.20490012,0.79509988
9,9,2.8125,0.05,200,128,128,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.1,100,10,0.204956591,0.795043409
7,7,2.1875,0.05,200,96,96,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.1,100,10,0.204960883,0.795039117
9,9,2.8125,0.05,200,128,128,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.1,100,10,0.204970967,0.795029033
5,5,1.5625,0.1,100,96,96,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.204974019,0.795025981
7,7,2.1875,0.1,100,128,128,0.5,0.5,0.9,0.9,7,112,112,1,1,0.05,200,10,0.20499421,0.79500579
7,7,2.1875,0.05,200,96,96,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.05,200,10,0.205017262,0.794982738
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.205030628,0.794969372
7,7,2.1875,0.05,200,96,96,0.7,0.7,0.7,0.7,9,144,144,1,1,0.1,100,10,0.2050518,0.7949482
7,7,2.1875,0.05,200,32,32,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.205072914,0.794927086
7,7,2.1875,0.05,200,64,64,0.9,0.9,0.5,0.5,7,112,112,1,1,0.05,200,10,0.205092328,0.794907672
7,7,2.1875,0.1,100,96,96,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.1,100,10,0.205092782,0.794907218
5,5,1.5625,0.1,100,96,96,0.5,0.5,0.9,0.9,7,112,112,1,1,0.1,100,10,0.205119153,0.794880847
5,5,1.5625,0.05,200,32,32,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.05,200,10,0.20512242,0.79487758
9,9,2.8125,0.05,200,64,64,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.205128746,0.794871254
9,9,2.8125,0.05,200,32,32,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.1,100,10,0.205134419,0.794865581
7,7,2.1875,0.1,100,32,32,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.1,100,10,0.205149296,0.794850704
7,7,2.1875,0.05,200,96,96,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.1,100,10,0.205151454,0.794848546
7,7,2.1875,0.1,100,128,128,0.5,0.5,0.9,0.9,7,112,112,0.1,0.1,0.1,100,10,0.205156622,0.794843378
7,7,2.1875,0.05,200,96,96,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.205178737,0.794821263
5,5,1.5625,0.05,200,64,64,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.1,100,10,0.205215547,0.794784453
5,5,1.5625,0.1,100,32,32,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.2052205,0.7947795
9,9,2.8125,0.1,100,32,32,0.5,0.5,0.9,0.9,9,144,144,1,1,0.05,200,10,0.205230624,0.794769376
5,5,1.5625,0.1,100,64,64,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.1,100,10,0.205249803,0.794750197
5,5,1.5625,0.1,100,64,64,0.7,0.7,0.7,0.7,7,112,112,1,1,0.05,200,10,0.205251002,0.794748998
5,5,1.5625,0.05,200,32,32,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.205268026,0.794731974
9,9,2.8125,0.05,200,96,96,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.05,200,10,0.205277019,0.794722981
9,9,2.8125,0.05,200,32,32,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.05,200,10,0.205292816,0.794707184
7,7,2.1875,0.05,200,64,64,0.9,0.9,0.5,0.5,9,144,144,1,1,0.05,200,10,0.205296153,0.794703847
7,7,2.1875,0.1,100,96,96,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.05,200,10,0.205307857,0.794692143
7,7,2.1875,0.05,200,96,96,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.205354655,0.794645345
5,5,1.5625,0.05,200,64,64,0.9,0.9,0.5,0.5,5,80,80,1,1,0.05,200,10,0.205365,0.794635
9,9,2.8125,0.1,100,32,32,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.05,200,10,0.205433326,0.794566674
5,5,1.5625,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.205471015,0.794528985
7,7,2.1875,0.1,100,32,32,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.205473475,0.794526525
9,9,2.8125,0.05,200,96,96,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.205483753,0.794516247
7,7,2.1875,0.1,100,32,32,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.20551337,0.79448663
9,9,2.8125,0.05,200,128,128,0.5,0.5,0.9,0.9,9,144,144,1,1,0.05,200,10,0.205523683,0.794476317
9,9,2.8125,0.05,200,128,128,0.5,0.5,0.9,0.9,7,112,112,0.1,0.1,0.05,200,10,0.205563439,0.794436561
9,9,2.8125,0.1,100,32,32,0.7,0.7,0.7,0.7,7,112,112,1,1,0.1,100,10,0.205593638,0.794406362
7,7,2.1875,0.1,100,32,32,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.05,200,10,0.205594511,0.794405489
7,7,2.1875,0.1,100,32,32,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.1,100,10,0.205599783,0.794400217
5,5,1.5625,0.05,200,128,128,0.5,0.5,0.9,0.9,7,112,112,1,1,0.05,200,10,0.205641147,0.794358853
5,5,1.5625,0.05,200,128,128,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.1,100,10,0.205644896,0.794355104
5,5,1.5625,0.05,200,32,32,0.7,0.7,0.7,0.7,7,112,112,1,1,0.05,200,10,0.205659539,0.794340461
7,7,2.1875,0.1,100,96,96,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.20566132,0.79433868
5,5,1.5625,0.05,200,96,96,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.1,100,10,0.205710262,0.794289738
9,9,2.8125,0.05,200,96,96,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.05,200,10,0.205743612,0.794256388
7,7,2.1875,0.05,200,96,96,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.1,100,10,0.205745651,0.794254349
5,5,1.5625,0.05,200,128,128,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.205750724,0.794249276
9,9,2.8125,0.1,100,96,96,0.9,0.9,0.5,0.5,7,112,112,1,1,0.05,200,10,0.20578617,0.79421383
9,9,2.8125,0.1,100,64,64,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.05,200,10,0.205790421,0.794209579
7,7,2.1875,0.1,100,96,96,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.1,100,10,0.205807174,0.794192826
9,9,2.8125,0.1,100,64,64,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.205818752,0.794181248
7,7,2.1875,0.05,200,96,96,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.05,200,10,0.205820694,0.794179306
9,9,2.8125,0.05,200,32,32,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.05,200,10,0.205858899,0.794141101
5,5,1.5625,0.05,200,96,96,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.05,200,10,0.205859304,0.794140696
5,5,1.5625,0.05,200,64,64,0.9,0.9,0.5,0.5,7,112,112,1,1,0.1,100,10,0.205869555,0.794130445
5,5,1.5625,0.05,200,32,32,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.05,200,10,0.20589573,0.79410427
5,5,1.5625,0.1,100,96,96,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.205900797,0.794099203
7,7,2.1875,0.1,100,128,128,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.205913174,0.794086826
5,5,1.5625,0.1,100,32,32,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.05,200,10,0.205916439,0.794083561
7,7,2.1875,0.1,100,64,64,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.05,200,10,0.205928467,0.794071533
5,5,1.5625,0.1,100,96,96,0.9,0.9,0.5,0.5,3,48,48,1,1,0.1,100,10,0.205946832,0.794053168
5,5,1.5625,0.05,200,32,32,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.205952263,0.794047737
9,9,2.8125,0.05,200,64,64,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.05,200,10,0.205961131,0.794038869
5,5,1.5625,0.05,200,32,32,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.205975777,0.794024223
7,7,2.1875,0.05,200,32,32,0.5,0.5,0.9,0.9,9,144,144,1,1,0.05,200,10,0.205990427,0.794009573
7,7,2.1875,0.1,100,64,64,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.1,100,10,0.206015405,0.793984595
9,9,2.8125,0.05,200,32,32,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.1,100,10,0.206025144,0.793974856
5,5,1.5625,0.05,200,128,128,0.7,0.7,0.7,0.7,9,144,144,1,1,0.1,100,10,0.206029528,0.793970472
9,9,2.8125,0.05,200,128,128,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.05,200,10,0.206030145,0.793969855
7,7,2.1875,0.1,100,96,96,0.9,0.9,0.5,0.5,7,112,112,1,1,0.1,100,10,0.206033072,0.793966928
5,5,1.5625,0.1,100,128,128,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.206035629,0.793964371
9,9,2.8125,0.05,200,32,32,0.9,0.9,0.5,0.5,5,80,80,1,1,0.05,200,10,0.206047731,0.793952269
7,7,2.1875,0.1,100,128,128,0.5,0.5,0.9,0.9,9,144,144,1,1,0.05,200,10,0.206057441,0.793942559
9,9,2.8125,0.05,200,96,96,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.1,100,10,0.206063585,0.793936415
5,5,1.5625,0.1,100,32,32,0.9,0.9,0.5,0.5,7,112,112,1,1,0.1,100,10,0.206071517,0.793928483
7,7,2.1875,0.1,100,64,64,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.1,100,10,0.206127089,0.793872911
7,7,2.1875,0.1,100,64,64,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.206128307,0.793871693
5,5,1.5625,0.05,200,64,64,0.9,0.9,0.5,0.5,7,112,112,1,1,0.05,200,10,0.206145157,0.793854843
9,9,2.8125,0.05,200,32,32,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.05,200,10,0.206158381,0.793841619
7,7,2.1875,0.05,200,64,64,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.05,200,10,0.206168994,0.793831006
9,9,2.8125,0.05,200,96,96,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.1,100,10,0.206241592,0.793758408
