min_samples_split_randomc,n_estimators_randomr,n_estimators_randomc,max_depth_randomr,max_depth_randomc,min_samples_split_randomr,max_features_randomr,max_samples_randomr,max_features_randomc,max_samples_randomc,min_samples_leaf_randomr,min_samples_leaf_randomc,degree,mse,r2
80,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.17650318601378281,0.8234968139862172
48,50,100,9,9,16,0.7,0.7,0.7,0.7,5,5,10,0.17668137950052953,0.8233186204994705
16,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.1768085243477166,0.8231914756522833
16,50,100,9,9,16,0.7,0.7,0.7,0.7,1,1,10,0.17685132389536962,0.8231486761046304
16,100,50,9,9,16,0.7,0.7,0.7,0.7,1,1,10,0.17699320361743553,0.8230067963825645
80,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.17703928829934662,0.8229607117006534
48,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.17728070407551247,0.8227192959244876
16,50,100,9,9,16,0.7,0.7,0.7,0.7,3,3,10,0.17758457588234436,0.8224154241176557
80,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.17762583859532152,0.8223741614046784
80,50,100,9,9,16,0.7,0.7,0.7,0.7,7,7,10,0.1778904066000891,0.822109593399911
16,100,50,9,9,16,0.7,0.7,0.7,0.7,3,3,10,0.17798276671217672,0.8220172332878233
16,50,100,9,9,16,0.7,0.7,0.7,0.7,9,9,10,0.17799299807043822,0.8220070019295618
80,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.17800610150905208,0.821993898490948
48,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.17882165003534153,0.8211783499646584
48,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.17913723285665178,0.8208627671433482
80,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.17917484683373064,0.8208251531662694
48,100,50,9,9,16,0.7,0.7,0.7,0.7,1,1,10,0.1792262828882809,0.8207737171117191
16,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.17924456216372572,0.8207554378362742
48,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.17936398142554247,0.8206360185744576
80,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.179404587068131,0.820595412931869
48,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.17952492915357335,0.8204750708464267
16,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.17978224482933391,0.8202177551706661
16,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.17996223480864645,0.8200377651913535
48,100,50,9,9,16,0.7,0.7,0.7,0.7,9,9,10,0.18011948315485876,0.8198805168451413
16,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.18013734883038615,0.8198626511696139
16,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.18019945561099787,0.8198005443890022
16,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.1802735010137847,0.8197264989862153
80,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.1806977807931104,0.8193022192068896
80,50,100,9,9,16,0.7,0.7,0.7,0.7,1,1,10,0.1808203702606298,0.8191796297393702
80,100,50,9,9,16,0.7,0.7,0.7,0.7,3,3,10,0.18139638394034174,0.8186036160596583
16,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.18161939964813423,0.8183806003518658
80,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.18162457760198378,0.8183754223980162
80,50,100,9,9,16,0.7,0.7,0.7,0.7,9,9,10,0.18188328457650907,0.818116715423491
80,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.18197104019377594,0.818028959806224
16,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.18221192496456698,0.817788075035433
80,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.1823145748585578,0.8176854251414423
80,50,100,9,9,16,0.7,0.7,0.7,0.7,5,5,10,0.1830820131769587,0.8169179868230413
80,50,100,9,9,16,0.7,0.7,0.7,0.7,3,3,10,0.18356776856018905,0.8164322314398109
48,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.18427856569833334,0.8157214343016667
16,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.18429929867299716,0.8157007013270028
16,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.18450298955704125,0.8154970104429587
80,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.18454008972165276,0.8154599102783473
16,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.18527224500438783,0.8147277549956122
48,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.18575815850620098,0.8142418414937991
16,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.18582153190936015,0.8141784680906399
16,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.1860657847132808,0.8139342152867192
48,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.18612615235729174,0.8138738476427083
80,100,50,9,9,16,0.7,0.7,0.7,0.7,9,9,10,0.1861267735944251,0.8138732264055749
80,100,50,9,9,16,0.7,0.7,0.7,0.7,5,5,10,0.18669595783754608,0.8133040421624539
80,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.18682387210276724,0.8131761278972327
80,100,50,9,9,16,0.7,0.7,0.7,0.7,1,1,10,0.18750698999068194,0.8124930100093181
80,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.18762461413304599,0.812375385866954
16,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.18805599493589806,0.8119440050641019
16,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.18863378501101694,0.8113662149889831
48,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.1892614822547038,0.8107385177452961
16,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.1893007781698365,0.8106992218301635
48,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.1893425708067776,0.8106574291932224
48,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.18966366015800037,0.8103363398419996
48,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.19005545407913527,0.8099445459208647
16,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.19008225811689833,0.8099177418831016
80,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.1901160752661054,0.8098839247338946
16,100,50,9,9,16,0.7,0.7,0.7,0.7,9,9,10,0.19021102054859224,0.8097889794514077
16,50,100,7,7,48,0.7,0.7,0.7,0.7,7,7,10,0.1903987874625642,0.8096012125374358
48,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.19063275960651951,0.8093672403934805
16,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.19072207495554258,0.8092779250444574
80,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.19155859134144354,0.8084414086585565
48,100,50,7,7,48,0.7,0.7,0.7,0.7,5,5,10,0.19158284542512843,0.8084171545748715
16,50,100,7,7,48,0.7,0.7,0.7,0.7,9,9,10,0.19160846835042442,0.8083915316495756
