n_estimators_random,penalty_逻辑回归,max_features_random,max_samples_random,min_samples_leaf_random,max_depth_random,min_samples_split_random,C_逻辑回归,degree,mse,r2,mse_y,auc_t
50,l1,0.7,0.7,5,5,48,10,10,0.139527668,0.860472332,1.06095441,0.507590696
50,l2,0.7,0.7,5,5,48,10,10,0.139633261,0.860366739,1.06095441,0.506254776
100,l2,0.9,0.9,9,9,112,1,10,0.139721367,0.860278633,1.058644564,0.506313556
100,l1,0.9,0.9,9,9,112,10,10,0.140115232,0.859884768,1.058644564,0.507590696
100,l2,0.9,0.9,9,9,112,10,10,0.140213493,0.859786507,1.058644564,0.506254776
100,l1,0.7,0.7,7,7,80,0.1,10,0.141107376,0.858892624,1.059968054,0.5
50,l1,0.5,0.5,3,3,16,1,10,0.141268066,0.858731934,1.061790339,0.513925627
100,l1,0.7,0.7,5,5,48,0.1,10,0.141455201,0.858544799,1.060330108,0.5
100,l1,0.9,0.9,7,7,80,0.1,10,0.141504808,0.858495192,1.059756559,0.5
100,l1,0.5,0.5,7,7,80,0.1,10,0.141598326,0.858401674,1.05896733,0.5
50,l2,0.5,0.5,3,3,16,1,10,0.141746682,0.858253318,1.061790339,0.506313556
50,l1,0.5,0.5,3,3,16,10,10,0.142039242,0.857960758,1.061790339,0.507590696
50,l2,0.5,0.5,3,3,16,10,10,0.14208741,0.85791259,1.061790339,0.506254776
50,l2,0.5,0.5,3,3,16,0.1,10,0.142484026,0.857515974,1.061790339,0.50672502
50,l1,0.5,0.5,7,7,80,0.1,10,0.14392972,0.85607028,1.058931592,0.5
50,l1,0.9,0.9,9,9,112,1,10,0.14450327,0.85549673,1.058782042,0.513925627
50,l1,0.7,0.7,7,7,80,0.1,10,0.144614559,0.855385441,1.060119571,0.5
50,l1,0.5,0.5,5,5,48,0.1,10,0.144654929,0.855345071,1.060880798,0.5
50,l1,0.9,0.9,5,5,48,0.1,10,0.144784494,0.855215506,1.060040947,0.5
50,l1,0.9,0.9,9,9,112,10,10,0.14519674,0.85480326,1.058782042,0.507590696
50,l2,0.9,0.9,9,9,112,10,10,0.145243714,0.854756286,1.058782042,0.506254776
50,l2,0.9,0.9,9,9,112,1,10,0.146410877,0.853589123,1.058782042,0.506313556
