min_child_samples_LGBC,num_leaves_LGBC,reg_lambda_LGBC,learning_rate_LGBR,num_iterations_LGBR,num_leaves_LGBR,min_child_samples_LGBR,reg_lambda_LGBR,subsample_LGBR,colsample_bytree_LGBR,subsample_LGBC,colsample_bytree_LGBC,max_bin_LGBR,max_bin_LGBC,max_depth_LGBR,max_depth_LGBC,reg_alpha_LGBR,reg_alpha_LGBC,learning_rate_LGBC,num_iterations_LGBC,degree,mse,r2,mse_y,auc_t
16,16,1.5625,0.1,200,64,64,10,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.1,100,10,0.10101123,0.89898877,1.092447106,0.517505891
16,16,1.5625,0.1,200,96,96,15,0.5,0.5,0.9,0.9,112,112,7,7,0.01,0.01,0.05,200,10,0.101016286,0.898983714,1.080770289,0.516859306
32,32,2.1875,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.1,100,10,0.101082568,0.898917432,1.079347784,0.519488396
48,48,2.8125,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.1,100,10,0.101122491,0.898877509,1.075587961,0.528545932
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.1,100,10,0.101190072,0.898809928,1.100907461,0.51390158
48,48,2.8125,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.1,100,10,0.101309133,0.898690867,1.079347784,0.512691237
32,32,2.1875,0.1,200,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.05,200,10,0.101339524,0.898660476,1.093137365,0.519942609
16,16,1.5625,0.1,200,96,96,15,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.1,100,10,0.10135486,0.89864514,1.076174557,0.514834052
48,48,2.8125,0.1,200,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.05,200,10,0.101412802,0.898587198,1.08039354,0.517051679
16,16,1.5625,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,0.01,0.01,0.1,100,10,0.101485599,0.898514401,1.08237033,0.516405094
32,32,2.1875,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.1,100,10,0.101504229,0.898495771,1.084440625,0.518430348
48,48,2.8125,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.05,200,10,0.101546202,0.898453798,1.084440625,0.514254263
16,16,1.5625,0.1,200,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,0.01,0.01,0.1,100,10,0.101565207,0.898434793,1.079103913,0.516405094
32,32,2.1875,0.1,200,32,32,5,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.05,200,10,0.10170948,0.89829052,1.080025481,0.52215222
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.1,100,10,0.101858019,0.898141981,1.091665784,0.500021375
16,16,1.5625,0.2,100,96,96,15,0.5,0.5,0.9,0.9,144,144,9,9,0.01,0.01,0.05,200,10,0.10189025,0.89810975,1.084191037,0.517674217
32,32,2.1875,0.1,200,96,96,15,0.7,0.7,0.7,0.7,80,80,5,5,0.01,0.01,0.05,200,10,0.101890475,0.898109525,1.073921721,0.50897738
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.1,100,10,0.101947197,0.898052803,1.091904471,0.514834052
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,0.01,0.01,0.05,200,10,0.101950514,0.898049486,1.091676463,0.508969365
16,16,1.5625,0.1,200,32,32,5,0.9,0.9,0.5,0.5,144,144,9,9,1,1,0.1,100,10,0.102083277,0.897916723,1.136518782,0.508667447
16,16,1.5625,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.1,100,10,0.102088422,0.897911578,1.079347784,0.513850815
16,16,1.5625,0.1,200,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.05,200,10,0.102102805,0.897897195,1.08039354,0.520706755
16,16,1.5625,0.1,200,32,32,5,0.5,0.5,0.9,0.9,144,144,9,9,1,1,0.05,200,10,0.102113808,0.897886192,1.111353511,0.516859306
16,16,1.5625,0.2,100,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.05,200,10,0.102115733,0.897884267,1.094692444,0.516573419
16,16,1.5625,0.1,200,96,96,15,0.7,0.7,0.7,0.7,80,80,5,5,0.01,0.01,0.1,100,10,0.102124112,0.897875888,1.073921721,0.526798549
16,16,1.5625,0.1,200,96,96,15,0.7,0.7,0.7,0.7,80,80,5,5,0.01,0.01,0.05,200,10,0.102138153,0.897861847,1.073921721,0.495551387
32,32,2.1875,0.1,200,64,64,10,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.05,200,10,0.102145426,0.897854574,1.070579012,0.52215222
16,16,1.5625,0.1,200,96,96,15,0.9,0.9,0.5,0.5,144,144,9,9,0.1,0.1,0.05,200,10,0.102152992,0.897847008,1.092316133,0.502685199
16,16,1.5625,0.1,200,96,96,15,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.1,100,10,0.102169305,0.897830695,1.079763232,0.527605444
16,16,1.5625,0.1,200,32,32,5,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.1,100,10,0.10218681,0.89781319,1.118945136,0.508902569
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.1,100,10,0.102265439,0.897734561,1.086949004,0.515817289
16,16,1.5625,0.2,100,96,96,15,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.1,100,10,0.102309662,0.897690338,1.079685925,0.527605444
48,48,2.8125,0.1,200,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.05,200,10,0.102315446,0.897684554,1.087874335,0.514489385
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,0.01,0.01,0.1,100,10,0.102339108,0.897660892,1.093274962,0.516060426
16,16,1.5625,0.1,200,96,96,15,0.7,0.7,0.7,0.7,144,144,9,9,0.1,0.1,0.05,200,10,0.102542679,0.897457321,1.087104772,0.509599919
16,16,1.5625,0.1,200,96,96,15,0.7,0.7,0.7,0.7,144,144,9,9,1,1,0.05,200,10,0.102627172,0.897372828,1.086361271,0.512969108
48,48,2.8125,0.2,100,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.1,100,10,0.102680297,0.897319703,1.107563957,0.504726484
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.05,200,10,0.102697492,0.897302508,1.100907461,0.498509114
32,32,2.1875,0.2,100,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.05,200,10,0.102730899,0.897269101,1.097957153,0.518497144
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.05,200,10,0.102772042,0.897227958,1.086949004,0.511162945
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.01,0.01,0.1,100,10,0.102805923,0.897194077,1.097687833,0.499895798
16,16,1.5625,0.1,200,96,96,15,0.7,0.7,0.7,0.7,144,144,9,9,1,1,0.1,100,10,0.102882892,0.897117108,1.086361271,0.519253274
32,32,2.1875,0.1,200,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,0.01,0.01,0.05,200,10,0.102907161,0.897092839,1.091676463,0.498752251
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,0.1,0.1,0.05,200,10,0.102909021,0.897090979,1.091472683,0.515464606
16,16,1.5625,0.1,200,32,32,5,0.9,0.9,0.5,0.5,144,144,9,9,1,1,0.05,200,10,0.102927903,0.897072097,1.136518782,0.504718468
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,144,144,9,9,0.1,0.1,0.1,100,10,0.102934259,0.897065741,1.110785047,0.513372556
48,48,2.8125,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.05,200,10,0.10294952,0.89705048,1.075587961,0.520126966
32,32,2.1875,0.2,100,32,32,5,0.9,0.9,0.5,0.5,48,48,3,3,1,1,0.1,100,10,0.103097897,0.896902103,1.081129469,0.50902013
16,16,1.5625,0.1,200,96,96,15,0.7,0.7,0.7,0.7,144,144,9,9,0.01,0.01,0.05,200,10,0.103101609,0.896898391,1.087214256,0.514657711
16,16,1.5625,0.1,200,32,32,5,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.05,200,10,0.103130419,0.896869581,1.080025481,0.514077922
32,32,2.1875,0.1,200,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.1,100,10,0.103192932,0.896807068,1.08039354,0.519488396
48,48,2.8125,0.1,200,32,32,5,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.05,200,10,0.103270013,0.896729987,1.080025481,0.510885074
16,16,1.5625,0.2,100,32,32,5,0.7,0.7,0.7,0.7,144,144,9,9,0.1,0.1,0.05,200,10,0.103325784,0.896674216,1.133692382,0.509599919
16,16,1.5625,0.1,200,96,96,15,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.05,200,10,0.103351959,0.896648041,1.082038027,0.520639959
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.1,100,10,0.103463176,0.896536824,1.088420392,0.506230729
16,16,1.5625,0.2,100,96,96,15,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.05,200,10,0.103464656,0.896535344,1.079685925,0.5194216
16,16,1.5625,0.2,100,96,96,15,0.7,0.7,0.7,0.7,144,144,9,9,0.1,0.1,0.05,200,10,0.103468995,0.896531005,1.091376827,0.509599919
16,16,1.5625,0.1,200,96,96,15,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.05,200,10,0.103473218,0.896526782,1.07504216,0.516573419
16,16,1.5625,0.1,200,96,96,15,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.1,100,10,0.103475067,0.896524933,1.082038027,0.517505891
