min_child_samples_LGBC,num_leaves_LGBC,reg_lambda_LGBC,learning_rate_LGBR,num_iterations_LGBR,num_leaves_LGBR,min_child_samples_LGBR,reg_lambda_LGBR,subsample_LGBR,colsample_bytree_LGBR,subsample_LGBC,colsample_bytree_LGBC,max_bin_LGBR,max_bin_LGBC,max_depth_LGBR,max_depth_LGBC,reg_alpha_LGBR,reg_alpha_LGBC,learning_rate_LGBC,num_iterations_LGBC,degree,mse,r2,mse_y,auc_t
16,16,1.5625,0.1,200,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.1,100,10,0.115923729,0.884076271,1.075354281,0.518152477
32,32,2.1875,0.1,200,128,128,20,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.05,200,10,0.115931434,0.884068566,1.072415065,0.523891587
32,32,2.1875,0.1,200,64,64,10,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.1,100,10,0.115942351,0.884057649,1.074505576,0.519488396
16,16,1.5625,0.2,100,32,32,5,0.7,0.7,0.7,0.7,144,144,9,9,0.01,0.01,0.05,200,10,0.115946699,0.884053301,1.14458476,0.514657711
48,48,2.8125,0.1,200,32,32,5,0.9,0.9,0.5,0.5,112,112,7,7,0.1,0.1,0.05,200,10,0.115949441,0.884050559,1.131177981,0.512103432
32,32,2.1875,0.2,100,96,96,15,0.7,0.7,0.7,0.7,80,80,5,5,1,1,0.1,100,10,0.115974601,0.884025399,1.07474942,0.52906694
32,32,2.1875,0.1,200,64,64,10,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.05,200,10,0.115994476,0.884005524,1.113165655,0.510532391
16,16,1.5625,0.1,200,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.01,0.01,0.05,200,10,0.116000448,0.883999552,1.069325465,0.514430604
32,32,2.1875,0.2,100,96,96,15,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.05,200,10,0.116005092,0.883994908,1.088130459,0.500374058
32,32,2.1875,0.1,200,64,64,10,0.7,0.7,0.7,0.7,144,144,9,9,1,1,0.1,100,10,0.116005431,0.883994569,1.101839113,0.520177731
48,48,2.8125,0.1,200,128,128,20,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.05,200,10,0.116009459,0.883990541,1.073439336,0.514254263
16,16,1.5625,0.2,100,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.1,0.1,0.05,200,10,0.116031375,0.883968625,1.070459934,0.523319814
48,48,2.8125,0.1,200,96,96,15,0.5,0.5,0.9,0.9,48,48,3,3,0.1,0.1,0.05,200,10,0.116041233,0.883958767,1.06861138,0.52697489
48,48,2.8125,0.1,200,32,32,5,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.1,100,10,0.116042315,0.883957685,1.120634243,0.5152375
48,48,2.8125,0.2,100,96,96,15,0.7,0.7,0.7,0.7,48,48,3,3,0.01,0.01,0.05,200,10,0.116043612,0.883956388,1.071295268,0.525059181
16,16,1.5625,0.1,200,64,64,10,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.05,200,10,0.116058401,0.883941599,1.070163508,0.511876326
48,48,2.8125,0.2,100,64,64,10,0.7,0.7,0.7,0.7,48,48,3,3,0.01,0.01,0.1,100,10,0.116086747,0.883913253,1.070578831,0.523143472
32,32,2.1875,0.1,200,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.1,100,10,0.116092362,0.883907638,1.096572888,0.520354072
48,48,2.8125,0.2,100,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,0.01,0.01,0.05,200,10,0.116109854,0.883890146,1.096824365,0.526857329
32,32,2.1875,0.1,200,64,64,10,0.7,0.7,0.7,0.7,144,144,9,9,0.1,0.1,0.05,200,10,0.116126875,0.883873125,1.106771602,0.510246504
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,48,48,3,3,0.01,0.01,0.1,100,10,0.116128415,0.883871585,1.077158008,0.512683221
32,32,2.1875,0.1,200,96,96,15,0.7,0.7,0.7,0.7,80,80,5,5,1,1,0.05,200,10,0.116145269,0.883854731,1.074839177,0.531217771
48,48,2.8125,0.1,200,64,64,10,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.1,100,10,0.116147674,0.883852326,1.074505576,0.512691237
32,32,2.1875,0.2,100,96,96,15,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.05,200,10,0.116158513,0.883841487,1.071058628,0.525815312
32,32,2.1875,0.1,200,32,32,5,0.7,0.7,0.7,0.7,144,144,9,9,0.01,0.01,0.1,100,10,0.116161149,0.883838851,1.136384745,0.513153465
16,16,1.5625,0.1,200,96,96,15,0.9,0.9,0.5,0.5,48,48,3,3,1,1,0.1,100,10,0.116163205,0.883836795,1.070616475,0.509952602
48,48,2.8125,0.1,200,96,96,15,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.05,200,10,0.116164534,0.883835466,1.089531588,0.511633189
32,32,2.1875,0.2,100,96,96,15,0.9,0.9,0.5,0.5,144,144,9,9,0.1,0.1,0.05,200,10,0.116175119,0.883824881,1.096180341,0.507398323
48,48,2.8125,0.1,200,32,32,5,0.7,0.7,0.7,0.7,112,112,7,7,0.01,0.01,0.05,200,10,0.116175969,0.883824031,1.117196936,0.514254263
48,48,2.8125,0.2,100,32,32,5,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.05,200,10,0.116177897,0.883822103,1.099948254,0.514254263
48,48,2.8125,0.1,200,96,96,15,0.5,0.5,0.9,0.9,144,144,9,9,1,1,0.1,100,10,0.1161911,0.8838089,1.085258997,0.530058193
48,48,2.8125,0.2,100,96,96,15,0.9,0.9,0.5,0.5,144,144,9,9,1,1,0.05,200,10,0.116205422,0.883794578,1.094872005,0.511927091
32,32,2.1875,0.2,100,64,64,10,0.7,0.7,0.7,0.7,80,80,5,5,0.01,0.01,0.1,100,10,0.11622795,0.88377205,1.087472046,0.510305284
32,32,2.1875,0.2,100,96,96,15,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.1,100,10,0.116246549,0.883753451,1.078663784,0.516463874
48,48,2.8125,0.2,100,32,32,5,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.1,100,10,0.116249913,0.883750087,1.099948254,0.520177731
32,32,2.1875,0.2,100,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.05,200,10,0.116268708,0.883731292,1.103153508,0.500374058
48,48,2.8125,0.2,100,64,64,10,0.7,0.7,0.7,0.7,112,112,7,7,1,1,0.05,200,10,0.116274606,0.883725394,1.092155583,0.518959372
48,48,2.8125,0.2,100,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,0.1,0.1,0.05,200,10,0.116286952,0.883713048,1.098623097,0.515413841
32,32,2.1875,0.2,100,128,128,20,0.5,0.5,0.9,0.9,112,112,7,7,0.01,0.01,0.1,100,10,0.116302561,0.883697439,1.078613503,0.526622207
32,32,2.1875,0.2,100,64,64,10,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.05,200,10,0.1163029,0.8836971,1.113272245,0.510532391
48,48,2.8125,0.2,100,96,96,15,0.7,0.7,0.7,0.7,80,80,5,5,0.01,0.01,0.05,200,10,0.116305625,0.883694375,1.075424387,0.517447111
32,32,2.1875,0.1,200,64,64,10,0.7,0.7,0.7,0.7,80,80,5,5,0.1,0.1,0.05,200,10,0.116332712,0.883667288,1.085845723,0.512111448
16,16,1.5625,0.1,200,128,128,20,0.9,0.9,0.5,0.5,144,144,9,9,0.1,0.1,0.1,100,10,0.116340579,0.883659421,1.078733932,0.513372556
32,32,2.1875,0.2,100,128,128,20,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.05,200,10,0.116343174,0.883656826,1.071800651,0.521689992
48,48,2.8125,0.2,100,96,96,15,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.1,100,10,0.116348493,0.883651507,1.083871248,0.5152375
16,16,1.5625,0.2,100,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.1,100,10,0.116356253,0.883643747,1.113361085,0.512095417
48,48,2.8125,0.2,100,32,32,5,0.7,0.7,0.7,0.7,80,80,5,5,0.1,0.1,0.05,200,10,0.116357148,0.883642852,1.108950116,0.517153209
32,32,2.1875,0.2,100,32,32,5,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.1,100,10,0.116358705,0.883641295,1.07921316,0.509431593
48,48,2.8125,0.1,200,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,1,1,0.05,200,10,0.116362927,0.883637073,1.067785408,0.518783031
32,32,2.1875,0.1,200,128,128,20,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.05,200,10,0.116375062,0.883624938,1.070055052,0.52215222
48,48,2.8125,0.2,100,96,96,15,0.7,0.7,0.7,0.7,80,80,5,5,1,1,0.05,200,10,0.116378329,0.883621671,1.07474942,0.522211
32,32,2.1875,0.2,100,32,32,5,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.1,100,10,0.116382411,0.883617589,1.134201763,0.513263011
48,48,2.8125,0.2,100,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.05,200,10,0.116393417,0.883606583,1.103153508,0.511633189
32,32,2.1875,0.2,100,32,32,5,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.05,200,10,0.116396048,0.883603952,1.140811162,0.510532391
16,16,1.5625,0.1,200,128,128,20,0.5,0.5,0.9,0.9,144,144,9,9,0.01,0.01,0.05,200,10,0.11640762,0.88359238,1.078405789,0.517674217
32,32,2.1875,0.1,200,64,64,10,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.05,200,10,0.116419161,0.883580839,1.070163508,0.525815312
32,32,2.1875,0.1,200,96,96,15,0.5,0.5,0.9,0.9,144,144,9,9,1,1,0.05,200,10,0.116423472,0.883576528,1.085258997,0.52424427
32,32,2.1875,0.1,200,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.05,200,10,0.11643629,0.88356371,1.105387784,0.518505159
48,48,2.8125,0.1,200,128,128,20,0.9,0.9,0.5,0.5,48,48,3,3,0.01,0.01,0.1,100,10,0.116439197,0.883560803,1.071282798,0.50350011
16,16,1.5625,0.1,200,128,128,20,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.1,100,10,0.116451,0.883549,1.074772224,0.527605444
32,32,2.1875,0.2,100,96,96,15,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.1,100,10,0.116461505,0.883538495,1.080580672,0.507398323
16,16,1.5625,0.1,200,32,32,5,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.05,200,10,0.116468873,0.883531127,1.095768171,0.500366042
48,48,2.8125,0.1,200,32,32,5,0.9,0.9,0.5,0.5,144,144,9,9,0.1,0.1,0.05,200,10,0.116475995,0.883524005,1.14254416,0.512683221
32,32,2.1875,0.2,100,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.1,100,10,0.116479875,0.883520125,1.09356414,0.519127698
48,48,2.8125,0.2,100,64,64,10,0.7,0.7,0.7,0.7,80,80,5,5,0.01,0.01,0.1,100,10,0.116479949,0.883520051,1.087472046,0.511817545
48,48,2.8125,0.1,200,128,128,20,0.9,0.9,0.5,0.5,48,48,3,3,1,1,0.1,100,10,0.116496446,0.883503554,1.070388513,0.506524632
32,32,2.1875,0.2,100,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.01,0.01,0.1,100,10,0.116505505,0.883494495,1.071207185,0.525059181
16,16,1.5625,0.1,200,96,96,15,0.5,0.5,0.9,0.9,48,48,3,3,0.1,0.1,0.1,100,10,0.116514754,0.883485246,1.06861138,0.519312055
32,32,2.1875,0.2,100,128,128,20,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.1,100,10,0.116521508,0.883478492,1.077299251,0.52633632
48,48,2.8125,0.1,200,32,32,5,0.7,0.7,0.7,0.7,80,80,5,5,0.1,0.1,0.05,200,10,0.116537819,0.883462181,1.102708861,0.517153209
16,16,1.5625,0.1,200,128,128,20,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.05,200,10,0.116541143,0.883458857,1.070324945,0.511876326
16,16,1.5625,0.1,200,128,128,20,0.9,0.9,0.5,0.5,48,48,3,3,1,1,0.1,100,10,0.116575307,0.883424693,1.070388513,0.509952602
48,48,2.8125,0.2,100,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.01,0.01,0.05,200,10,0.116581717,0.883418283,1.071207185,0.515590183
48,48,2.8125,0.2,100,128,128,20,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.1,100,10,0.116600915,0.883399085,1.076993164,0.504726484
48,48,2.8125,0.2,100,32,32,5,0.5,0.5,0.9,0.9,144,144,9,9,1,1,0.1,100,10,0.116603003,0.883396997,1.11558204,0.530058193
32,32,2.1875,0.2,100,32,32,5,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.1,100,10,0.116608482,0.883391518,1.140811162,0.51186831
32,32,2.1875,0.2,100,96,96,15,0.5,0.5,0.9,0.9,112,112,7,7,0.1,0.1,0.1,100,10,0.116609687,0.883390313,1.081213614,0.532024666
48,48,2.8125,0.1,200,64,64,10,0.7,0.7,0.7,0.7,112,112,7,7,0.01,0.01,0.05,200,10,0.116614669,0.883385331,1.094799921,0.514254263
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,48,48,3,3,0.1,0.1,0.05,200,10,0.116622784,0.883377216,1.076079281,0.523319814
48,48,2.8125,0.1,200,96,96,15,0.9,0.9,0.5,0.5,48,48,3,3,1,1,0.05,200,10,0.11663603,0.88336397,1.070616475,0.502113425
48,48,2.8125,0.2,100,64,64,10,0.9,0.9,0.5,0.5,144,144,9,9,1,1,0.1,100,10,0.116664696,0.883335304,1.117035652,0.519127698
48,48,2.8125,0.1,200,96,96,15,0.7,0.7,0.7,0.7,112,112,7,7,1,1,0.05,200,10,0.116669164,0.883330836,1.078954004,0.518959372
16,16,1.5625,0.2,100,96,96,15,0.9,0.9,0.5,0.5,48,48,3,3,0.01,0.01,0.1,100,10,0.116669425,0.883330575,1.070426484,0.505365053
16,16,1.5625,0.1,200,32,32,5,0.5,0.5,0.9,0.9,112,112,7,7,0.1,0.1,0.05,200,10,0.116679534,0.883320466,1.107855448,0.515464606
32,32,2.1875,0.1,200,128,128,20,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.1,100,10,0.11668236,0.88331764,1.076449888,0.507398323
32,32,2.1875,0.2,100,32,32,5,0.5,0.5,0.9,0.9,144,144,9,9,1,1,0.05,200,10,0.116686428,0.883313572,1.11558204,0.52424427
32,32,2.1875,0.1,200,32,32,5,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.1,100,10,0.116736799,0.883263201,1.120634243,0.518320802
48,48,2.8125,0.1,200,64,64,10,0.7,0.7,0.7,0.7,144,144,9,9,0.01,0.01,0.05,200,10,0.116756565,0.883243435,1.102075173,0.51599363
48,48,2.8125,0.2,100,96,96,15,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.05,200,10,0.116762883,0.883237117,1.078663784,0.514489385
16,16,1.5625,0.1,200,32,32,5,0.7,0.7,0.7,0.7,80,80,5,5,0.01,0.01,0.1,100,10,0.116763688,0.883236312,1.098472307,0.526798549
48,48,2.8125,0.1,200,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.01,0.01,0.1,100,10,0.116766635,0.883233365,1.09549221,0.527966142
32,32,2.1875,0.1,200,96,96,15,0.5,0.5,0.9,0.9,48,48,3,3,0.1,0.1,0.1,100,10,0.116778646,0.883221354,1.06861138,0.514724507
48,48,2.8125,0.1,200,64,64,10,0.7,0.7,0.7,0.7,144,144,9,9,0.01,0.01,0.1,100,10,0.116786799,0.883213201,1.102075173,0.521866333
16,16,1.5625,0.1,200,64,64,10,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.1,100,10,0.116805449,0.883194551,1.074505576,0.513850815
48,48,2.8125,0.1,200,128,128,20,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.1,100,10,0.1168176,0.8831824,1.072415065,0.517917355
48,48,2.8125,0.2,100,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,0.01,0.01,0.1,100,10,0.11683583,0.88316417,1.115322981,0.516052411
32,32,2.1875,0.2,100,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.1,0.1,0.1,100,10,0.116851248,0.883148752,1.070459934,0.514724507
16,16,1.5625,0.2,100,96,96,15,0.9,0.9,0.5,0.5,112,112,7,7,0.1,0.1,0.05,200,10,0.11685213,0.88314787,1.085149697,0.518959372
32,32,2.1875,0.1,200,128,128,20,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.1,100,10,0.116874406,0.883125594,1.080436973,0.513263011
32,32,2.1875,0.2,100,64,64,10,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.1,100,10,0.116899417,0.883100583,1.113272245,0.51186831
32,32,2.1875,0.1,200,96,96,15,0.5,0.5,0.9,0.9,48,48,3,3,0.1,0.1,0.05,200,10,0.116905602,0.883094398,1.06861138,0.530520421
16,16,1.5625,0.1,200,128,128,20,0.7,0.7,0.7,0.7,112,112,7,7,0.01,0.01,0.05,200,10,0.116907026,0.883092974,1.075216132,0.525874092
32,32,2.1875,0.2,100,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,0.01,0.01,0.1,100,10,0.116937093,0.883062907,1.115322981,0.498458349
32,32,2.1875,0.1,200,96,96,15,0.9,0.9,0.5,0.5,48,48,3,3,1,1,0.05,200,10,0.116950132,0.883049868,1.070616475,0.50565094
48,48,2.8125,0.1,200,32,32,5,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.1,100,10,0.116952071,0.883047929,1.123923253,0.497576642
16,16,1.5625,0.1,200,64,64,10,0.7,0.7,0.7,0.7,80,80,5,5,0.1,0.1,0.1,100,10,0.117022366,0.882977634,1.085845723,0.507390308
48,48,2.8125,0.2,100,96,96,15,0.9,0.9,0.5,0.5,80,80,5,5,0.01,0.01,0.1,100,10,0.11703636,0.88296364,1.07701345,0.516052411
16,16,1.5625,0.2,100,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.01,0.01,0.1,100,10,0.11704132,0.88295868,1.071207185,0.512683221
16,16,1.5625,0.2,100,32,32,5,0.7,0.7,0.7,0.7,144,144,9,9,0.01,0.01,0.1,100,10,0.117061355,0.882938645,1.14458476,0.511633189
48,48,2.8125,0.2,100,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.1,100,10,0.117070254,0.882929746,1.103153508,0.497576642
32,32,2.1875,0.1,200,32,32,5,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.1,100,10,0.117075599,0.882924401,1.095768171,0.507398323
16,16,1.5625,0.1,200,128,128,20,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.05,200,10,0.117097909,0.882902091,1.070055052,0.514077922
32,32,2.1875,0.2,100,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.1,100,10,0.117098314,0.882901686,1.113361085,0.516463874
16,16,1.5625,0.2,100,128,128,20,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.1,100,10,0.117106829,0.882893171,1.081134935,0.508902569
16,16,1.5625,0.1,200,128,128,20,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.1,100,10,0.11713183,0.88286817,1.078473835,0.512800782
48,48,2.8125,0.2,100,96,96,15,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.1,100,10,0.117133232,0.882866768,1.093189785,0.505188712
48,48,2.8125,0.1,200,96,96,15,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.05,200,10,0.117143326,0.882856674,1.093260727,0.516169972
48,48,2.8125,0.1,200,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.1,100,10,0.117145001,0.882854999,1.107124366,0.519539161
32,32,2.1875,0.2,100,96,96,15,0.7,0.7,0.7,0.7,144,144,9,9,0.01,0.01,0.05,200,10,0.117145552,0.882854448,1.090918042,0.518320802
16,16,1.5625,0.2,100,128,128,20,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.05,200,10,0.117152515,0.882847485,1.081134935,0.50838156
32,32,2.1875,0.2,100,128,128,20,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.1,100,10,0.117155287,0.882844713,1.07707585,0.519127698
32,32,2.1875,0.1,200,32,32,5,0.7,0.7,0.7,0.7,80,80,5,5,0.1,0.1,0.1,100,10,0.117158542,0.882841458,1.102708861,0.499096918
16,16,1.5625,0.1,200,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.05,200,10,0.117166633,0.882833367,1.105387784,0.508675462
32,32,2.1875,0.2,100,64,64,10,0.9,0.9,0.5,0.5,144,144,9,9,1,1,0.1,100,10,0.117182128,0.882817872,1.117035652,0.506994875
16,16,1.5625,0.1,200,128,128,20,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.1,100,10,0.117196019,0.882803981,1.076065562,0.517505891
16,16,1.5625,0.1,200,128,128,20,0.9,0.9,0.5,0.5,144,144,9,9,0.1,0.1,0.05,200,10,0.117217105,0.882782895,1.078733932,0.502685199
16,16,1.5625,0.1,200,128,128,20,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.1,100,10,0.117251075,0.882748925,1.070324945,0.518152477
16,16,1.5625,0.1,200,32,32,5,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.1,100,10,0.11726192,0.88273808,1.131146307,0.513717223
48,48,2.8125,0.1,200,64,64,10,0.7,0.7,0.7,0.7,48,48,3,3,0.01,0.01,0.1,100,10,0.117287604,0.882712396,1.072401406,0.523143472
16,16,1.5625,0.2,100,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.01,0.01,0.05,200,10,0.117289457,0.882710543,1.071207185,0.514430604
32,32,2.1875,0.1,200,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,1,1,0.1,100,10,0.11729173,0.88270827,1.067785408,0.522622464
48,48,2.8125,0.1,200,96,96,15,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.05,200,10,0.11729426,0.88270574,1.082038027,0.520236511
48,48,2.8125,0.1,200,64,64,10,0.7,0.7,0.7,0.7,80,80,5,5,0.1,0.1,0.05,200,10,0.117296555,0.882703445,1.085845723,0.517153209
32,32,2.1875,0.1,200,128,128,20,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.05,200,10,0.117305415,0.882694585,1.073439336,0.521689992
32,32,2.1875,0.2,100,32,32,5,0.7,0.7,0.7,0.7,80,80,5,5,0.1,0.1,0.1,100,10,0.117311381,0.882688619,1.108950116,0.499096918
32,32,2.1875,0.1,200,32,32,5,0.5,0.5,0.9,0.9,144,144,9,9,0.01,0.01,0.1,100,10,0.117324875,0.882675125,1.11351764,0.525866077
48,48,2.8125,0.2,100,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.05,200,10,0.117330525,0.882669475,1.1047808,0.515061158
48,48,2.8125,0.1,200,96,96,15,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.05,200,10,0.117343601,0.882656399,1.083961223,0.515061158
16,16,1.5625,0.1,200,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.1,0.1,0.1,100,10,0.117359842,0.882640158,1.070264181,0.519312055
32,32,2.1875,0.1,200,128,128,20,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.05,200,10,0.117361469,0.882638531,1.070324945,0.525815312
16,16,1.5625,0.2,100,128,128,20,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.05,200,10,0.117366253,0.882633747,1.077299251,0.493333761
32,32,2.1875,0.1,200,32,32,5,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.05,200,10,0.117388542,0.882611458,1.131146307,0.510532391
16,16,1.5625,0.1,200,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.01,0.01,0.1,100,10,0.117395058,0.882604942,1.069325465,0.512683221
32,32,2.1875,0.2,100,96,96,15,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.05,200,10,0.117444213,0.882555787,1.078103931,0.521689992
16,16,1.5625,0.1,200,128,128,20,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.1,100,10,0.117457362,0.882542638,1.070055052,0.509952602
32,32,2.1875,0.1,200,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.01,0.01,0.05,200,10,0.117476979,0.882523021,1.069325465,0.523672497
48,48,2.8125,0.1,200,128,128,20,0.5,0.5,0.9,0.9,48,48,3,3,0.1,0.1,0.05,200,10,0.117477962,0.882522038,1.070264181,0.52697489
48,48,2.8125,0.1,200,128,128,20,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.05,200,10,0.117497496,0.882502504,1.070055052,0.510885074
48,48,2.8125,0.2,100,96,96,15,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.05,200,10,0.117500844,0.882499156,1.088130459,0.511633189
32,32,2.1875,0.2,100,96,96,15,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.1,100,10,0.117520547,0.882479453,1.083871248,0.518320802
48,48,2.8125,0.2,100,96,96,15,0.5,0.5,0.9,0.9,144,144,9,9,0.01,0.01,0.1,100,10,0.117565974,0.882434026,1.084191037,0.527966142
48,48,2.8125,0.2,100,96,96,15,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.1,100,10,0.117569754,0.882430246,1.078663784,0.519539161
48,48,2.8125,0.2,100,128,128,20,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.1,100,10,0.117574872,0.882425128,1.073874276,0.5152375
48,48,2.8125,0.1,200,96,96,15,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.1,100,10,0.117592478,0.882407522,1.089531588,0.497576642
48,48,2.8125,0.1,200,96,96,15,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.05,200,10,0.1175993,0.8824007,1.076174557,0.513380571
32,32,2.1875,0.2,100,128,128,20,0.7,0.7,0.7,0.7,80,80,5,5,0.1,0.1,0.05,200,10,0.117602007,0.882397993,1.073633949,0.512111448
32,32,2.1875,0.2,100,128,128,20,0.7,0.7,0.7,0.7,80,80,5,5,1,1,0.05,200,10,0.117642968,0.882357032,1.074031036,0.531217771
32,32,2.1875,0.1,200,32,32,5,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.1,100,10,0.117648298,0.882351702,1.097474085,0.52633632
32,32,2.1875,0.2,100,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.05,200,10,0.117668154,0.882331846,1.113361085,0.507339543
16,16,1.5625,0.2,100,96,96,15,0.9,0.9,0.5,0.5,80,80,5,5,0.01,0.01,0.1,100,10,0.117674075,0.882325925,1.07701345,0.509557169
48,48,2.8125,0.1,200,128,128,20,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.05,200,10,0.117677781,0.882322219,1.076449888,0.515472622
48,48,2.8125,0.1,200,32,32,5,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.1,100,10,0.117698497,0.882301503,1.107231878,0.52075752
48,48,2.8125,0.1,200,64,64,10,0.9,0.9,0.5,0.5,144,144,9,9,0.01,0.01,0.1,100,10,0.11770388,0.88229612,1.113165655,0.505188712
32,32,2.1875,0.1,200,32,32,5,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.1,100,10,0.117705323,0.882294677,1.126200462,0.506297525
