num_leaves_LGB,min_child_samples_LGB,max_depth_random,max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,reg_lambda_LGB,min_samples_split_random,max_features_random,max_samples_random,subsample_LGB,colsample_bytree_LGB,min_samples_leaf_random,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
64,64,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,3,48,0.1,10,0.16194079,0.83805921
32,32,5,5,50,0.2,100,3,48,0.5,0.5,0.9,0.9,3,48,1,10,0.161964565,0.838035435
32,32,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.161968661,0.838031339
64,64,3,3,100,0.1,200,1,16,0.9,0.9,0.5,0.5,9,144,1,10,0.161995285,0.838004715
64,64,3,3,50,0.2,100,5,80,0.7,0.7,0.7,0.7,5,80,0.1,10,0.162183549,0.837816451
32,32,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,7,112,1,10,0.162221896,0.837778104
32,32,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,3,48,0.1,10,0.162338964,0.837661036
32,32,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,3,48,1,10,0.162341598,0.837658402
64,64,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,9,144,0.1,10,0.162448296,0.837551704
32,32,5,5,50,0.2,100,3,48,0.7,0.7,0.7,0.7,5,80,1,10,0.162566319,0.837433681
32,32,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,1,10,0.162848843,0.837151157
64,64,3,3,50,0.2,100,1,16,0.9,0.9,0.5,0.5,5,80,1,10,0.162991645,0.837008355
32,32,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,0.1,10,0.163054417,0.836945583
32,32,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,0.1,10,0.163129605,0.836870395
64,64,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.163187505,0.836812495
32,32,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,0.01,10,0.163212017,0.836787983
