max_depth_LGB,min_child_samples_LGB,num_leaves_LGB,num_iterations_LGB,learning_rate_LGB,penalty_逻辑回归,subsample_LGB,colsample_bytree_LGB,reg_lambda_LGB,max_bin_LGB,reg_alpha_LGB,C_逻辑回归,degree,mse,r2,mse_y,auc_t
9,64,64,100,0.2,l2,0.7,0.7,1,16,1,10,10,0.100336157,0.899663843,1.093575389,0.506254776
9,64,64,200,0.1,l2,0.9,0.9,9,144,0.01,0.1,10,0.100587941,0.899412059,1.093801719,0.50672502
7,32,32,200,0.1,l2,0.5,0.5,1,16,0.01,0.1,10,0.100615073,0.899384927,1.072543297,0.50672502
9,64,64,200,0.1,l1,0.7,0.7,7,112,0.1,1,10,0.100700876,0.899299124,1.080647561,0.513925627
7,32,32,200,0.1,l1,0.7,0.7,1,16,0.1,1,10,0.100733101,0.899266899,1.078153959,0.513925627
9,64,64,100,0.2,l1,0.9,0.9,9,144,0.01,0.1,10,0.100791166,0.899208834,1.102285232,0.5
7,32,32,200,0.1,l1,0.9,0.9,1,16,0.01,0.1,10,0.100814866,0.899185134,1.08215281,0.5
7,32,32,100,0.2,l2,0.7,0.7,1,16,0.01,0.1,10,0.100907757,0.899092243,1.083277596,0.50672502
7,32,32,200,0.1,l1,0.7,0.7,3,48,0.01,0.1,10,0.100939295,0.899060705,1.081428543,0.5
9,64,64,200,0.1,l1,0.9,0.9,1,16,0.01,0.1,10,0.101051549,0.898948451,1.100096139,0.5
7,32,32,200,0.1,l2,0.9,0.9,1,16,0.01,0.1,10,0.101102663,0.898897337,1.08215281,0.50672502
9,64,64,100,0.2,l2,0.5,0.5,5,80,0.01,0.1,10,0.101116156,0.898883844,1.094406926,0.50672502
7,32,32,100,0.2,l2,0.5,0.5,9,144,0.01,0.1,10,0.101146538,0.898853462,1.080101081,0.50672502
7,32,32,200,0.1,l1,0.9,0.9,1,16,1,10,10,0.101195892,0.898804108,1.078599137,0.507590696
