max_depth_XGB,reg_lambda_XGB,num_iterations_LGB,n_estimators_XGB,learning_rate_LGB,learning_rate_XGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,max_bin_LGB,max_depth_LGB,reg_alpha_LGB,reg_alpha_XGB,degree,mse,r2
5,5,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.106378685,0.893621315
5,5,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.106480974,0.893519026
5,5,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.106492422,0.893507578
9,9,100,100,0.2,0.2,96,96,15,0.5,0.5,0.9,0.9,80,144,11,1,1,10,0.106750545,0.893249455
9,9,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.106872549,0.893127451
9,9,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.106896804,0.893103196
5,5,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.106958269,0.893041731
5,5,200,200,0.1,0.1,32,32,5,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.106974785,0.893025215
7,7,200,200,0.1,0.1,32,32,5,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.10703514,0.89296486
9,9,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.107134008,0.892865992
9,9,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.107191902,0.892808098
5,5,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.107348306,0.892651694
9,9,100,100,0.2,0.2,64,64,10,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.107525833,0.892474167
7,7,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.107554361,0.892445639
9,9,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.107634194,0.892365806
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.107779322,0.892220678
7,7,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.107816652,0.892183348
5,5,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.107875835,0.892124165
5,5,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.107906079,0.892093921
9,9,100,100,0.2,0.2,96,96,15,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.107933301,0.892066699
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,48,80,7,1,1,10,0.108048346,0.891951654
7,7,200,200,0.1,0.1,32,32,5,0.5,0.5,0.9,0.9,80,144,11,0.01,0.01,10,0.108354876,0.891645124
5,5,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.108439313,0.891560687
9,9,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.108466009,0.891533991
5,5,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.108734454,0.891265546
9,9,100,100,0.2,0.2,32,32,5,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.108849812,0.891150188
