max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,min_samples_split_random,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_features_random,max_samples_random,max_depth_random,max_bin_LGB,min_samples_leaf_random,reg_alpha,degree,mse,r2,mse_y,auc_t
9,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,1,10,0.08436957,0.91563043,1.093046471,0.505683002
9,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.084417701,0.915582299,1.105063606,0.508573932
7,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,0.1,10,0.08445239,0.91554761,1.08275857,0.504910841
9,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,9,144,9,1,10,0.084469536,0.915530464,1.109487315,0.518833796
7,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,0.01,10,0.08450605,0.91549395,1.093274962,0.511456847
7,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,0.01,10,0.084603244,0.915396756,1.094799921,0.512514896
9,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,1,10,0.084637952,0.915362048,1.114788393,0.505683002
9,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,0.01,10,0.084684728,0.915315272,1.09946497,0.511456847
7,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,9,144,9,0.01,10,0.084692881,0.915307119,1.107986891,0.518833796
9,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,0.1,10,0.084729943,0.915270057,1.084663783,0.504910841
9,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,9,144,9,0.01,10,0.084819824,0.915180176,1.09549221,0.504910841
5,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,0.01,10,0.084877675,0.915122325,1.094965836,0.508531183
9,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,9,144,9,0.1,10,0.084893151,0.915106849,1.110785047,0.518833796
9,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,1,10,0.084977849,0.915022151,1.101184678,0.511531659
7,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,0.1,10,0.085041872,0.914958128,1.093717407,0.519370835
7,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,5,80,5,0.1,10,0.085093364,0.914906636,1.07860209,0.510783544
7,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,0.01,10,0.085156762,0.914843238,1.083742971,0.504910841
5,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,1,10,0.085175784,0.914824216,1.087874335,0.511852279
7,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,1,10,0.085222349,0.914777651,1.092155583,0.512237024
