eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.01,350,100,16,0.7,0.7,7,7,10,0.120571609,0.879428391
0.01,350,100,64,0.7,0.7,7,7,10,0.120571609,0.879428391
0.01,350,100,32,0.7,0.7,7,7,10,0.120571609,0.879428391
0.0001,450,50,64,0.5,0.5,3,3,10,0.120867895,0.879132105
0.0001,450,50,32,0.5,0.5,3,3,10,0.120867895,0.879132105
0.0001,450,50,48,0.5,0.5,3,3,10,0.120867895,0.879132105
0.0001,450,50,16,0.5,0.5,3,3,10,0.120867895,0.879132105
0.0001,450,100,16,0.7,0.7,7,7,10,0.120965681,0.879034319
0.0001,450,100,64,0.7,0.7,7,7,10,0.120965681,0.879034319
0.0001,450,100,48,0.7,0.7,7,7,10,0.120965681,0.879034319
0.0001,450,100,32,0.7,0.7,7,7,10,0.120965681,0.879034319
0.01,350,50,32,0.7,0.7,5,5,10,0.121062407,0.878937593
0.01,350,50,48,0.7,0.7,5,5,10,0.121062407,0.878937593
0.01,350,50,64,0.7,0.7,5,5,10,0.121062407,0.878937593
0.01,350,50,16,0.7,0.7,5,5,10,0.121062407,0.878937593
0.0001,450,50,48,0.9,0.9,9,9,10,0.12175968,0.87824032
0.0001,450,50,64,0.9,0.9,9,9,10,0.12175968,0.87824032
0.0001,450,50,32,0.9,0.9,9,9,10,0.12175968,0.87824032
0.0001,450,50,16,0.9,0.9,9,9,10,0.12175968,0.87824032
0.01,350,50,16,0.9,0.9,9,9,10,0.121811716,0.878188284
0.01,350,50,64,0.9,0.9,9,9,10,0.121811716,0.878188284
0.01,350,50,48,0.9,0.9,9,9,10,0.121811716,0.878188284
0.01,350,50,32,0.9,0.9,9,9,10,0.121811716,0.878188284
0.01,350,50,16,0.7,0.7,3,3,10,0.122842893,0.877157107
0.01,350,50,32,0.7,0.7,3,3,10,0.122842893,0.877157107
0.01,350,50,64,0.7,0.7,3,3,10,0.122842893,0.877157107
0.01,350,50,48,0.7,0.7,3,3,10,0.122842893,0.877157107
0.01,350,100,64,0.7,0.7,3,3,10,0.122916854,0.877083146
0.01,350,100,16,0.7,0.7,3,3,10,0.122916854,0.877083146
0.01,350,100,32,0.7,0.7,3,3,10,0.122916854,0.877083146
0.01,350,100,48,0.7,0.7,3,3,10,0.122916854,0.877083146
0.0001,450,100,16,0.7,0.7,3,3,10,0.122986374,0.877013626
0.0001,450,100,48,0.7,0.7,3,3,10,0.122986374,0.877013626
0.0001,450,100,32,0.7,0.7,3,3,10,0.122986374,0.877013626
0.0001,450,100,64,0.7,0.7,3,3,10,0.122986374,0.877013626
0.0001,450,100,32,0.9,0.9,9,9,10,0.123013851,0.876986149
0.0001,450,100,16,0.9,0.9,9,9,10,0.123013851,0.876986149
0.0001,450,100,64,0.9,0.9,9,9,10,0.123013851,0.876986149
0.0001,450,100,48,0.9,0.9,9,9,10,0.123013851,0.876986149
0.01,350,100,48,0.9,0.9,9,9,10,0.123254279,0.876745721
0.01,350,100,32,0.9,0.9,9,9,10,0.123254279,0.876745721
0.01,350,100,64,0.9,0.9,9,9,10,0.123254279,0.876745721
0.01,350,100,16,0.9,0.9,9,9,10,0.123254279,0.876745721
0.0001,450,100,16,0.7,0.7,5,5,10,0.123441734,0.876558266
0.0001,450,100,64,0.7,0.7,5,5,10,0.123441734,0.876558266
0.0001,450,100,32,0.7,0.7,5,5,10,0.123441734,0.876558266
0.0001,450,100,48,0.7,0.7,5,5,10,0.123441734,0.876558266
0.01,350,100,48,0.7,0.7,5,5,10,0.123597744,0.876402256
0.01,350,100,16,0.7,0.7,5,5,10,0.123597744,0.876402256
0.01,350,100,64,0.7,0.7,5,5,10,0.123597744,0.876402256
0.01,350,100,32,0.7,0.7,5,5,10,0.123597744,0.876402256
0.0001,450,50,16,0.7,0.7,5,5,10,0.123686062,0.876313938
0.0001,450,50,64,0.7,0.7,5,5,10,0.123686062,0.876313938
0.0001,450,50,48,0.7,0.7,5,5,10,0.123686062,0.876313938
0.0001,450,50,32,0.7,0.7,5,5,10,0.123686062,0.876313938
0.0001,450,100,48,0.9,0.9,7,7,10,0.124179023,0.875820977
0.0001,450,100,32,0.9,0.9,7,7,10,0.124179023,0.875820977
0.0001,450,100,16,0.9,0.9,7,7,10,0.124179023,0.875820977
0.0001,450,100,64,0.9,0.9,7,7,10,0.124179023,0.875820977
0.0001,450,50,32,0.9,0.9,7,7,10,0.124398758,0.875601242
0.0001,450,50,16,0.9,0.9,7,7,10,0.124398758,0.875601242
0.0001,450,50,64,0.9,0.9,7,7,10,0.124398758,0.875601242
0.0001,450,50,48,0.9,0.9,7,7,10,0.124398758,0.875601242
0.01,350,100,48,0.9,0.9,7,7,10,0.125043849,0.874956151
0.01,350,100,16,0.9,0.9,7,7,10,0.125043849,0.874956151
0.01,350,100,32,0.9,0.9,7,7,10,0.125043849,0.874956151
0.01,350,100,64,0.9,0.9,7,7,10,0.125043849,0.874956151
0.0001,450,50,32,0.7,0.7,3,3,10,0.125232735,0.874767265
0.0001,450,50,64,0.7,0.7,3,3,10,0.125232735,0.874767265
0.0001,450,50,16,0.7,0.7,3,3,10,0.125232735,0.874767265
0.0001,450,50,48,0.7,0.7,3,3,10,0.125232735,0.874767265
0.01,350,50,48,0.9,0.9,7,7,10,0.125243506,0.874756494
0.01,350,50,32,0.9,0.9,7,7,10,0.125243506,0.874756494
0.01,350,50,16,0.9,0.9,7,7,10,0.125243506,0.874756494
0.01,350,50,64,0.9,0.9,7,7,10,0.125243506,0.874756494
0.0001,450,100,16,0.9,0.9,5,5,10,0.125590377,0.874409623
0.0001,450,100,32,0.9,0.9,5,5,10,0.125590377,0.874409623
0.0001,450,100,48,0.9,0.9,5,5,10,0.125590377,0.874409623
0.0001,450,100,64,0.9,0.9,5,5,10,0.125590377,0.874409623
0.0001,450,50,16,0.9,0.9,5,5,10,0.12560201,0.87439799
0.0001,450,50,64,0.9,0.9,5,5,10,0.12560201,0.87439799
0.0001,450,50,32,0.9,0.9,5,5,10,0.12560201,0.87439799
0.0001,450,50,48,0.9,0.9,5,5,10,0.12560201,0.87439799
0.0001,450,50,16,0.9,0.9,3,3,10,0.126453981,0.873546019
0.0001,450,50,48,0.9,0.9,3,3,10,0.126453981,0.873546019
0.0001,450,50,64,0.9,0.9,3,3,10,0.126453981,0.873546019
0.0001,450,50,32,0.9,0.9,3,3,10,0.126453981,0.873546019
0.01,350,50,16,0.9,0.9,5,5,10,0.126460519,0.873539481
0.01,350,50,64,0.9,0.9,5,5,10,0.126460519,0.873539481
0.01,350,50,32,0.9,0.9,5,5,10,0.126460519,0.873539481
0.01,350,50,48,0.9,0.9,5,5,10,0.126460519,0.873539481
0.01,350,100,48,0.9,0.9,5,5,10,0.126768285,0.873231715
0.01,350,100,32,0.9,0.9,5,5,10,0.126768285,0.873231715
0.01,350,100,16,0.9,0.9,5,5,10,0.126768285,0.873231715
