eps_lasso,n_alphas_lasso,num_iterations_LGB,learning_rate_LGB,reg_lambda_LGB,min_child_samples_LGB,num_leaves_LGB,colsample_bytree_LGB,subsample_LGB,max_depth_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
0.01,350,200,0.1,7,80,80,0.9,0.9,3,48,1.0,10,0.13946428789839294,0.8605357121016071
0.0001,450,200,0.1,7,80,80,0.9,0.9,3,48,1.0,10,0.1394795351040422,0.8605204648959578
0.01,350,100,0.2,9,112,112,0.5,0.5,5,80,0.1,10,0.13949258885998195,0.860507411140018
0.0001,450,100,0.2,9,112,112,0.5,0.5,5,80,0.1,10,0.13950705820207485,0.8604929417979251
0.01,350,200,0.1,9,112,112,0.5,0.5,7,112,0.1,10,0.1395636330320417,0.8604363669679583
0.0001,450,200,0.1,9,112,112,0.5,0.5,7,112,0.1,10,0.13957580485588078,0.8604241951441192
0.01,350,200,0.1,9,112,112,0.9,0.9,3,48,0.1,10,0.13971890598799305,0.8602810940120069
0.0001,450,200,0.1,9,112,112,0.9,0.9,3,48,0.1,10,0.13973449418213524,0.8602655058178648
0.01,350,200,0.1,9,112,112,0.7,0.7,5,80,0.1,10,0.1397446349498342,0.8602553650501659
0.0001,450,200,0.1,9,112,112,0.7,0.7,5,80,0.1,10,0.13975904804153944,0.8602409519584606
0.01,350,100,0.2,7,80,80,0.7,0.7,3,48,1.0,10,0.13986377087279175,0.8601362291272082
0.0001,450,100,0.2,7,80,80,0.7,0.7,3,48,1.0,10,0.13988497102904726,0.8601150289709527
0.01,350,100,0.2,9,112,112,0.7,0.7,3,48,0.1,10,0.1402880480152044,0.8597119519847956
0.0001,450,100,0.2,9,112,112,0.7,0.7,3,48,0.1,10,0.14029601090525384,0.8597039890947462
0.01,350,100,0.2,9,112,112,0.5,0.5,5,80,1.0,10,0.14033201096617065,0.8596679890338293
0.0001,450,100,0.2,9,112,112,0.5,0.5,5,80,1.0,10,0.14034608069981808,0.859653919300182
0.01,350,200,0.1,9,112,112,0.5,0.5,3,48,0.1,10,0.1403577902631893,0.8596422097368107
0.0001,450,200,0.1,9,112,112,0.5,0.5,3,48,0.1,10,0.14037458090314983,0.8596254190968502
0.01,350,200,0.1,7,80,80,0.5,0.5,3,48,0.1,10,0.14048184614201228,0.8595181538579877
0.0001,450,200,0.1,7,80,80,0.5,0.5,3,48,0.1,10,0.1405051777593873,0.8594948222406127
0.01,350,200,0.1,9,112,112,0.7,0.7,5,80,0.01,10,0.1405123488851207,0.8594876511148792
0.0001,450,200,0.1,9,112,112,0.7,0.7,5,80,0.01,10,0.1405289744469171,0.8594710255530829
0.01,350,200,0.1,9,112,112,0.7,0.7,3,48,1.0,10,0.14076469900225974,0.8592353009977403
0.0001,450,200,0.1,9,112,112,0.7,0.7,3,48,1.0,10,0.14078195706776672,0.8592180429322333
0.01,350,200,0.1,7,80,80,0.7,0.7,3,48,0.01,10,0.14123828212666345,0.8587617178733365
0.0001,450,200,0.1,7,80,80,0.7,0.7,3,48,0.01,10,0.14124574567981887,0.8587542543201812
0.01,350,100,0.2,9,112,112,0.5,0.5,7,112,1.0,10,0.1413042606339528,0.8586957393660473
0.0001,450,100,0.2,9,112,112,0.5,0.5,7,112,1.0,10,0.14131791826192466,0.8586820817380754
0.01,350,200,0.1,7,80,80,0.5,0.5,5,80,0.1,10,0.1416129917670993,0.8583870082329007
0.0001,450,200,0.1,7,80,80,0.5,0.5,5,80,0.1,10,0.14163098976786784,0.8583690102321322
0.01,350,100,0.2,5,48,48,0.7,0.7,3,48,0.1,10,0.14163277394831297,0.858367226051687
0.0001,450,100,0.2,5,48,48,0.7,0.7,3,48,0.1,10,0.14164796133825674,0.8583520386617433
0.01,350,100,0.2,9,112,112,0.7,0.7,7,112,1.0,10,0.14172937040111375,0.8582706295988862
0.0001,450,100,0.2,9,112,112,0.7,0.7,7,112,1.0,10,0.1417485461593378,0.8582514538406623
0.01,350,100,0.2,7,80,80,0.5,0.5,3,48,0.01,10,0.14184772605418203,0.858152273945818
0.0001,450,100,0.2,7,80,80,0.5,0.5,3,48,0.01,10,0.14186607207368063,0.8581339279263194
0.01,350,100,0.2,7,80,80,0.9,0.9,3,48,0.1,10,0.1418909469442463,0.8581090530557537
0.0001,450,100,0.2,7,80,80,0.9,0.9,3,48,0.1,10,0.14190901140905135,0.8580909885909487
0.01,350,200,0.1,9,112,112,0.9,0.9,5,80,0.01,10,0.14199450261815535,0.8580054973818446
0.0001,450,200,0.1,9,112,112,0.9,0.9,5,80,0.01,10,0.14201074873338057,0.8579892512666194
0.01,350,200,0.1,9,112,112,0.5,0.5,7,112,1.0,10,0.1420604236409353,0.8579395763590647
0.0001,450,200,0.1,9,112,112,0.5,0.5,7,112,1.0,10,0.1420818892279719,0.8579181107720281
0.01,350,200,0.1,5,48,48,0.9,0.9,3,48,0.01,10,0.14224412660328017,0.8577558733967199
0.01,350,200,0.1,5,48,48,0.5,0.5,3,48,1.0,10,0.14226286210323247,0.8577371378967675
0.0001,450,200,0.1,5,48,48,0.9,0.9,3,48,0.01,10,0.14226919876086502,0.8577308012391349
0.0001,450,200,0.1,5,48,48,0.5,0.5,3,48,1.0,10,0.1422793533387994,0.8577206466612006
0.01,350,200,0.1,5,48,48,0.9,0.9,3,48,0.1,10,0.14236367479033155,0.8576363252096685
0.0001,450,200,0.1,5,48,48,0.9,0.9,3,48,0.1,10,0.1423749435101119,0.8576250564898881
0.01,350,200,0.1,7,80,80,0.7,0.7,5,80,1.0,10,0.14276436229040804,0.857235637709592
0.0001,450,200,0.1,7,80,80,0.7,0.7,5,80,1.0,10,0.1427782259758041,0.8572217740241959
0.01,350,200,0.1,9,112,112,0.5,0.5,7,112,0.01,10,0.14278804963790875,0.8572119503620912
0.0001,450,200,0.1,9,112,112,0.5,0.5,7,112,0.01,10,0.14280427868648415,0.8571957213135158
0.01,350,100,0.2,9,112,112,0.7,0.7,5,80,0.1,10,0.142952713348475,0.857047286651525
0.0001,450,100,0.2,9,112,112,0.7,0.7,5,80,0.1,10,0.1429682147702609,0.8570317852297391
0.01,350,100,0.2,5,48,48,0.5,0.5,3,48,1.0,10,0.14301912785007506,0.8569808721499249
0.0001,450,100,0.2,5,48,48,0.5,0.5,3,48,1.0,10,0.1430392865915988,0.8569607134084012
0.01,350,100,0.2,5,48,48,0.5,0.5,3,48,0.01,10,0.14307521488600888,0.8569247851139912
0.01,350,200,0.1,9,112,112,0.7,0.7,5,80,1.0,10,0.14308107526058236,0.8569189247394177
0.0001,450,100,0.2,5,48,48,0.5,0.5,3,48,0.01,10,0.14308997825786562,0.8569100217421344
0.0001,450,200,0.1,9,112,112,0.7,0.7,5,80,1.0,10,0.14309316117696264,0.8569068388230374
0.01,350,200,0.1,9,112,112,0.7,0.7,7,112,0.1,10,0.14309459757358053,0.8569054024264194
0.0001,450,200,0.1,9,112,112,0.7,0.7,7,112,0.1,10,0.14311315424188373,0.8568868457581162
0.01,350,100,0.2,7,80,80,0.7,0.7,3,48,0.1,10,0.14312604130996548,0.8568739586900345
0.0001,450,100,0.2,7,80,80,0.7,0.7,3,48,0.1,10,0.1431398646955905,0.8568601353044095
0.01,350,100,0.2,3,16,16,0.5,0.5,3,48,0.1,10,0.14326133621204803,0.8567386637879519
0.0001,450,100,0.2,3,16,16,0.5,0.5,3,48,0.1,10,0.14327583678829747,0.8567241632117025
0.01,350,200,0.1,9,112,112,0.9,0.9,5,80,0.1,10,0.1433738433590133,0.8566261566409867
0.0001,450,200,0.1,9,112,112,0.9,0.9,5,80,0.1,10,0.1433864833936992,0.8566135166063008
0.01,350,200,0.1,9,112,112,0.7,0.7,9,144,1.0,10,0.14340043375531736,0.8565995662446826
0.0001,450,200,0.1,9,112,112,0.7,0.7,9,144,1.0,10,0.14341809549715118,0.8565819045028489
0.01,350,200,0.1,5,48,48,0.7,0.7,3,48,1.0,10,0.1434424169366428,0.8565575830633572
0.0001,450,200,0.1,5,48,48,0.7,0.7,3,48,1.0,10,0.14346387286882484,0.8565361271311751
0.01,350,100,0.2,9,112,112,0.5,0.5,5,80,0.01,10,0.14347330238327535,0.8565266976167246
0.0001,450,100,0.2,9,112,112,0.5,0.5,5,80,0.01,10,0.1434891984632144,0.8565108015367856
0.01,350,200,0.1,9,112,112,0.9,0.9,7,112,1.0,10,0.143601178951801,0.856398821048199
0.01,350,100,0.2,7,80,80,0.7,0.7,7,112,1.0,10,0.14360828805734158,0.8563917119426584
