eps_lasso,n_alphas_lasso,n_estimators_XGB,learning_rate_XGB,max_depth_XGB,reg_lambda_XGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
0.01,350,200,0.1,7,7,0.7,0.7,80,0.1,10,0.120801005231025,0.879198994768975
0.0001,450,100,0.2,3,3,0.9,0.9,80,1.0,10,0.12081157877985678,0.8791884212201432
0.0001,450,200,0.1,7,7,0.7,0.7,80,0.1,10,0.1208128304832807,0.8791871695167193
0.01,350,200,0.1,5,5,0.9,0.9,80,1.0,10,0.12081408233672247,0.8791859176632775
0.01,350,100,0.2,5,5,0.9,0.9,80,1.0,10,0.12081612606702763,0.8791838739329724
0.0001,450,100,0.2,5,5,0.9,0.9,80,1.0,10,0.12083092271218886,0.8791690772878111
0.0001,450,200,0.1,5,5,0.9,0.9,80,1.0,10,0.12083211913727793,0.8791678808627221
0.01,350,200,0.1,3,3,0.7,0.7,80,0.01,10,0.12085799710041333,0.8791420028995867
0.01,350,100,0.2,3,3,0.9,0.9,112,0.1,10,0.12085903288298756,0.8791409671170124
0.0001,450,200,0.1,3,3,0.7,0.7,80,0.01,10,0.12087017264544413,0.8791298273545559
0.0001,450,100,0.2,3,3,0.9,0.9,112,0.1,10,0.12087196244271231,0.8791280375572876
0.01,350,200,0.1,9,9,0.7,0.7,80,0.01,10,0.12090068793545962,0.8790993120645404
0.0001,450,200,0.1,9,9,0.7,0.7,80,0.01,10,0.12091555171983831,0.8790844482801616
0.01,350,100,0.2,3,3,0.7,0.7,80,1.0,10,0.12092360616592547,0.8790763938340745
0.01,350,100,0.2,3,3,0.9,0.9,80,0.1,10,0.1209264541895246,0.8790735458104754
0.01,350,100,0.2,9,9,0.9,0.9,80,0.1,10,0.12093869808427604,0.879061301915724
0.01,350,200,0.1,7,7,0.7,0.7,80,0.01,10,0.12094096591316929,0.8790590340868307
0.0001,450,100,0.2,3,3,0.9,0.9,80,0.1,10,0.12094112549533433,0.8790588745046657
0.0001,450,100,0.2,3,3,0.7,0.7,80,1.0,10,0.12094173720286966,0.8790582627971304
0.01,350,200,0.1,7,7,0.9,0.9,80,0.1,10,0.12094720958805226,0.8790527904119477
0.01,350,200,0.1,9,9,0.9,0.9,112,1.0,10,0.12095060149964915,0.8790493985003509
