eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.01,350,50,5,0.7,0.7,3,16,10,0.12284289306419396,0.8771571069358061
0.01,350,50,9,0.7,0.7,3,16,10,0.12284289306419408,0.877157106935806
0.01,350,50,7,0.7,0.7,3,16,10,0.12284289306419438,0.8771571069358056
0.01,350,100,9,0.7,0.7,3,16,10,0.12291685392181159,0.8770831460781884
0.01,350,100,3,0.7,0.7,3,16,10,0.12291685392181313,0.8770831460781868
0.01,350,100,5,0.7,0.7,3,16,10,0.12291685392181381,0.8770831460781862
0.01,350,100,7,0.7,0.7,3,16,10,0.12291685392181428,0.8770831460781857
0.0001,450,100,3,0.7,0.7,3,16,10,0.12298637357183317,0.8770136264281668
0.0001,450,100,7,0.7,0.7,3,16,10,0.1229863735718348,0.8770136264281652
0.0001,450,100,5,0.7,0.7,3,16,10,0.1229863735718356,0.8770136264281644
0.0001,450,100,9,0.7,0.7,3,16,10,0.12298637357183748,0.8770136264281625
0.0001,450,100,5,0.9,0.9,9,112,10,0.12301385119731455,0.8769861488026854
0.0001,450,100,3,0.9,0.9,9,112,10,0.12301385119731553,0.8769861488026844
0.0001,450,100,9,0.9,0.9,9,112,10,0.12301385119732022,0.8769861488026798
0.0001,450,100,7,0.9,0.9,9,112,10,0.12301385119732156,0.8769861488026784
0.01,350,100,7,0.9,0.9,9,112,10,0.12325427871579689,0.8767457212842031
0.01,350,100,5,0.9,0.9,9,112,10,0.12325427871579793,0.876745721284202
0.01,350,100,9,0.9,0.9,9,112,10,0.1232542787157989,0.8767457212842011
0.01,350,100,3,0.9,0.9,9,112,10,0.12325427871579976,0.8767457212842003
0.0001,450,100,3,0.7,0.7,5,48,10,0.12344173399506538,0.8765582660049346
0.0001,450,100,9,0.7,0.7,5,48,10,0.12344173399506571,0.8765582660049343
0.0001,450,100,5,0.7,0.7,5,48,10,0.12344173399506919,0.8765582660049308
0.0001,450,100,7,0.7,0.7,5,48,10,0.12344173399506944,0.8765582660049306
0.01,350,100,7,0.7,0.7,5,48,10,0.12359774354038916,0.8764022564596108
0.01,350,100,3,0.7,0.7,5,48,10,0.1235977435403942,0.8764022564596058
0.01,350,100,9,0.7,0.7,5,48,10,0.12359774354039443,0.8764022564596056
0.01,350,100,5,0.7,0.7,5,48,10,0.12359774354039485,0.8764022564596051
0.0001,450,50,3,0.7,0.7,5,48,10,0.1236860617195185,0.8763139382804815
0.0001,450,50,9,0.7,0.7,5,48,10,0.12368606171951868,0.8763139382804813
0.0001,450,50,7,0.7,0.7,5,48,10,0.12368606171951874,0.8763139382804812
0.0001,450,50,5,0.7,0.7,5,48,10,0.12368606171951899,0.876313938280481
0.0001,450,100,7,0.9,0.9,7,80,10,0.12417902324738972,0.8758209767526103
0.0001,450,100,5,0.9,0.9,7,80,10,0.12417902324739384,0.8758209767526062
0.0001,450,100,3,0.9,0.9,7,80,10,0.12417902324739503,0.875820976752605
0.0001,450,100,9,0.9,0.9,7,80,10,0.12417902324739524,0.8758209767526047
0.0001,450,50,5,0.9,0.9,7,80,10,0.12439875785985206,0.8756012421401479
0.0001,450,50,3,0.9,0.9,7,80,10,0.12439875785985324,0.8756012421401468
0.0001,450,50,9,0.9,0.9,7,80,10,0.12439875785985528,0.8756012421401447
0.0001,450,50,7,0.9,0.9,7,80,10,0.12439875785985627,0.8756012421401438
0.01,350,100,7,0.9,0.9,7,80,10,0.12504384947222144,0.8749561505277785
0.01,350,100,3,0.9,0.9,7,80,10,0.12504384947222194,0.8749561505277781
0.01,350,100,5,0.9,0.9,7,80,10,0.12504384947222366,0.8749561505277763
0.01,350,100,9,0.9,0.9,7,80,10,0.12504384947222588,0.8749561505277741
0.0001,450,50,5,0.7,0.7,3,16,10,0.1252327345303516,0.8747672654696483
0.0001,450,50,9,0.7,0.7,3,16,10,0.1252327345303518,0.8747672654696482
0.0001,450,50,3,0.7,0.7,3,16,10,0.12523273453035277,0.8747672654696472
0.0001,450,50,7,0.7,0.7,3,16,10,0.12523273453035308,0.8747672654696469
0.01,350,50,7,0.9,0.9,7,80,10,0.1252435055133433,0.8747564944866567
