max_depth_XGB,reg_lambda_XGB,n_estimators_random,n_estimators_XGB,learning_rate_XGB,min_samples_split_random,max_features_random,max_samples_random,subsample_XGB,colsample_bytree_XGB,min_samples_leaf_random,max_depth_random,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2,mse_y,auc_t
7,7,100,200,0.1,16,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.148988992,0.851011008,1.06055672,0.509314032
5,5,50,100,0.2,48,0.7,0.7,0.7,0.7,9,9,9,1,10,0.149055572,0.850944428,1.063365688,0.515758508
9,9,100,200,0.1,48,0.7,0.7,0.7,0.7,5,5,5,0.01,10,0.149590977,0.850409023,1.060026046,0.520287276
9,9,100,200,0.1,16,0.9,0.9,0.5,0.5,9,9,9,0.1,10,0.149601645,0.850398355,1.068723629,0.523311798
5,5,100,200,0.1,16,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.14966362,0.85033638,1.061120225,0.516573419
9,9,50,100,0.2,16,0.5,0.5,0.9,0.9,7,7,7,1,10,0.149674404,0.850325596,1.062327326,0.515876069
7,7,100,200,0.1,16,0.9,0.9,0.5,0.5,9,9,9,0.1,10,0.149769455,0.850230545,1.068723629,0.513733254
5,5,100,200,0.1,16,0.9,0.9,0.5,0.5,7,7,7,1,10,0.149804422,0.850195578,1.066555186,0.516455859
5,5,100,200,0.1,48,0.5,0.5,0.9,0.9,7,7,7,0.01,10,0.14980923,0.85019077,1.060226135,0.51186831
9,9,100,200,0.1,80,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.149810856,0.850189144,1.059824322,0.510187723
9,9,100,200,0.1,80,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.149906668,0.850093332,1.060313217,0.515002378
7,7,100,200,0.1,48,0.9,0.9,0.5,0.5,9,9,9,0.1,10,0.150268297,0.849731703,1.062968105,0.513733254
7,7,100,200,0.1,16,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.150521569,0.849478431,1.064254238,0.509835041
5,5,100,200,0.1,80,0.5,0.5,0.9,0.9,7,7,7,0.01,10,0.150565138,0.849434862,1.058247333,0.51186831
7,7,100,200,0.1,80,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.150677984,0.849322016,1.060313217,0.518312787
5,5,100,200,0.1,48,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.150775145,0.849224855,1.061359697,0.502458092
5,5,100,200,0.1,16,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.150776589,0.849223411,1.066555186,0.518900592
5,5,100,200,0.1,80,0.7,0.7,0.7,0.7,5,5,5,1,10,0.150810681,0.849189319,1.061032594,0.514136702
9,9,100,200,0.1,48,0.5,0.5,0.9,0.9,5,5,5,1,10,0.150870042,0.849129958,1.061027046,0.522211
9,9,50,100,0.2,16,0.9,0.9,0.5,0.5,7,7,7,0.1,10,0.150879823,0.849120177,1.065848158,0.516405094
7,7,100,200,0.1,16,0.7,0.7,0.7,0.7,5,5,5,1,10,0.150898404,0.849101596,1.06055672,0.514077922
7,7,100,200,0.1,16,0.5,0.5,0.9,0.9,7,7,7,1,10,0.151031668,0.848968332,1.063145702,0.514884817
5,5,100,200,0.1,48,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.151169852,0.848830148,1.062165477,0.518900592
